
Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE pajwang@lengau.chpc.ac.zaregion,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,tissue
SRR27848286,RNA-Seq,102,3260143380,PRJNA1072725,SAMN39751674,1048961817,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511313,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061571,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061571,male,Bulk brain,SRP487820,Bulk brain
SRR27848287,RNA-Seq,102,2978205384,PRJNA1072725,SAMN39751675,954456102,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX23511312,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061570,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:11:00Z,1,GSM8061570,male,Bulk brain,SRP487820,Bulk brain
SRR27848288,RNA-Seq,102,3533089974,PRJNA1072725,SAMN39751676,1143096387,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511311,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061569,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061569,female,Bulk brain,SRP487820,Bulk brain
SRR27848289,RNA-Seq,102,3147774060,PRJNA1072725,SAMN39751677,999585918,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23511310,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061568,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061568,male,Bulk brain,SRP487820,Bulk brain
SRR27848290,RNA-Seq,102,3082163784,PRJNA1072725,SAMN39751678,984920954,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511309,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061567,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061567,female,Bulk brain,SRP487820,Bulk brain
SRR27848291,RNA-Seq,102,3494280300,PRJNA1072725,SAMN39751679,1146729496,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511308,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061566,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061566,male,Bulk brain,SRP487820,Bulk brain
SRR27848292,RNA-Seq,102,2872484832,PRJNA1072725,SAMN39751680,923753644,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511307,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061565,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:11:00Z,1,GSM8061565,female,Bulk brain,SRP487820,Bulk brain
SRR27848293,RNA-Seq,102,3179026962,PRJNA1072725,SAMN39751681,1039385788,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511306,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061564,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061564,female,Bulk brain,SRP487820,Bulk brain
SRR27848294,RNA-Seq,102,3068041068,PRJNA1072725,SAMN39751682,983156480,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511305,B6;129S1/SvImJ,uncalculated,uncalculated,missing,NextSeq 500,GSM8061563,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:12:00Z,1,GSM8061563,male,Bulk brain,SRP487820,Bulk brain
SRR27848295,RNA-Seq,102,3211211532,PRJNA1072725,SAMN39751683,1045986454,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23511304,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061562,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:13:00Z,1,GSM8061562,female,Bulk brain,SRP487820,Bulk brain
SRR27848296,RNA-Seq,102,2586552924,PRJNA1072725,SAMN39751684,838310030,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23511303,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061561,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:11:00Z,1,GSM8061561,male,Bulk brain,SRP487820,Bulk brain
SRR27848297,RNA-Seq,102,2552786742,PRJNA1072725,SAMN39751685,819388296,"NEUROLOGY, DARTMOUTH-HITCHCOCK MEDICAL CENTER",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23511302,3xTg-AD,uncalculated,uncalculated,missing,NextSeq 500,GSM8061560,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-07-10T00:00:00Z,2024-02-02T20:13:00Z,1,GSM8061560,female,Bulk brain,SRP487820,Bulk brain
