Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27848283_1	(1.0, 35.216105395094026)	(2.0, 17.95036175998185)	(3.0, 9.332452750690546)	(4.0, 5.043475647154412)	(5.0, 3.090114055840939)	(6.0, 2.172707240271547)	(7.0, 1.56414288678975)	(8.0, 1.2495969316147297)	(9.0, 0.9882637452060545)	('>10', 9.147343155835953)	('>50', 2.145392971812425)	('>100', 3.8779765236033272)	('>500', 1.6212924782563798)	('>1k', 3.388395600356077)	('>5k', 0.9684790815920672)	('>10k+', 2.2438997758999006)
SRR27848283_2	(1.0, 41.97623671282625)	(2.0, 19.69296020690252)	(3.0, 9.273954991364938)	(4.0, 4.7286716316768205)	(5.0, 2.601016463897971)	(6.0, 1.6550839984508636)	(7.0, 1.1234782355310036)	(8.0, 0.8633450452224118)	(9.0, 0.612575266621712)	('>10', 5.41942194726636)	('>50', 1.443025751590855)	('>100', 3.692192162196749)	('>500', 1.7313000563542458)	('>1k', 3.1857615004791584)	('>5k', 1.0558442481564252)	('>10k+', 0.9451317814616981)
SRR27848284_1	(1.0, 32.64817637032312)	(2.0, 19.205540676450987)	(3.0, 10.528264481473057)	(4.0, 6.121358544153751)	(5.0, 3.706402187963382)	(6.0, 2.654135490798306)	(7.0, 1.8342752402823812)	(8.0, 1.489696353978399)	(9.0, 1.1840795299482632)	('>10', 10.104768505749098)	('>50', 2.0167299442435564)	('>100', 3.3821712817248613)	('>500', 1.311560660616667)	('>1k', 2.2511920007318493)	('>5k', 0.5889970271104353)	('>10k+', 0.9726517044518912)
SRR27848284_2	(1.0, 39.12172546174333)	(2.0, 21.337276337043377)	(3.0, 11.182291141012495)	(4.0, 5.786733705311285)	(5.0, 3.293077271458434)	(6.0, 2.00202493952861)	(7.0, 1.474847604407551)	(8.0, 0.9934458203730149)	(9.0, 0.7750487514017479)	('>10', 5.865681200458221)	('>50', 1.2734224860669126)	('>100', 3.023303298132807)	('>500', 1.324749945043098)	('>1k', 1.924605521420578)	('>5k', 0.44962157034009953)	('>10k+', 0.1721449462585846)
SRR27848285_1	(1.0, 36.43507866552407)	(2.0, 19.41893968164522)	(3.0, 10.010043471579912)	(4.0, 5.534774510016805)	(5.0, 3.367237906224268)	(6.0, 2.273113607375312)	(7.0, 1.6408836288176802)	(8.0, 1.2401846731707067)	(9.0, 0.9804838286041981)	('>10', 9.049751520423172)	('>50', 1.8713278729329617)	('>100', 3.2772632593428686)	('>500', 1.3491345035025466)	('>1k', 2.100637823622862)	('>5k', 0.5969931517085488)	('>10k+', 0.8541518955086896)
SRR27848285_2	(1.0, 42.975349674846996)	(2.0, 21.49843221049849)	(3.0, 10.26157750050611)	(4.0, 5.15974787758166)	(5.0, 2.7067313997572002)	(6.0, 1.737690982635297)	(7.0, 1.2055844585124338)	(8.0, 0.8509654100585308)	(9.0, 0.6562985714513764)	('>10', 5.027291540592655)	('>50', 1.2460524443660577)	('>100', 3.0529449748129465)	('>500', 1.3412936876139439)	('>1k', 1.8027335527124044)	('>5k', 0.30123473750679747)	('>10k+', 0.1760709765471479)
SRR27848286_1	(1.0, 35.14782439550451)	(2.0, 18.41267556722573)	(3.0, 9.683240194260497)	(4.0, 5.393605417836093)	(5.0, 3.1774627642568403)	(6.0, 2.2132459841948613)	(7.0, 1.5136905939461562)	(8.0, 1.2826635715500834)	(9.0, 0.9966986547728712)	('>10', 8.938871847879867)	('>50', 2.0944184137470114)	('>100', 3.8339727619458626)	('>500', 1.662512322647951)	('>1k', 3.001551725136308)	('>5k', 0.860399732126155)	('>10k+', 1.7871660529692797)
SRR27848286_2	(1.0, 41.406873285093255)	(2.0, 20.286639869656316)	(3.0, 9.773636890415393)	(4.0, 4.952480143049292)	(5.0, 2.69504226836261)	(6.0, 1.7051971035953188)	(7.0, 1.2043091831729837)	(8.0, 0.8936885641838177)	(9.0, 0.6478803869166171)	('>10', 5.329701952017941)	('>50', 1.4704789032777201)	('>100', 3.708976560041946)	('>500', 1.7285839884169096)	('>1k', 2.8178941159043496)	('>5k', 1.022100405602695)	('>10k+', 0.3565163802927432)
SRR27848287_1	(1.0, 38.06951937863048)	(2.0, 19.213535833640666)	(3.0, 9.635002473621656)	(4.0, 5.322812374775215)	(5.0, 3.2270948087234923)	(6.0, 2.1379636810219504)	(7.0, 1.539346377578182)	(8.0, 1.1753796364849045)	(9.0, 0.9429853892738128)	('>10', 8.449013407263799)	('>50', 1.828843826381207)	('>100', 3.3353880283261508)	('>500', 1.3218074570089735)	('>1k', 2.155717557543777)	('>5k', 0.7017355402254848)	('>10k+', 0.9438542295004022)
SRR27848287_2	(1.0, 44.24929043937287)	(2.0, 20.815011396964373)	(3.0, 9.74232111661486)	(4.0, 4.730417440878274)	(5.0, 2.7728620183205264)	(6.0, 1.6823760531383551)	(7.0, 1.1327236573245594)	(8.0, 0.8179018310192651)	(9.0, 0.5857807023658931)	('>10', 5.091063980022526)	('>50', 1.3616207454886375)	('>100', 3.07418413730909)	('>500', 1.3948274303523256)	('>1k', 1.9105702261601722)	('>5k', 0.413136015858229)	('>10k+', 0.22591280881002668)
SRR27848288_1	(1.0, 31.875530976309108)	(2.0, 17.460126535977228)	(3.0, 9.516131854008597)	(4.0, 5.424187276666692)	(5.0, 3.4008486612317292)	(6.0, 2.4913588429859703)	(7.0, 1.8075101806379241)	(8.0, 1.4846238041197402)	(9.0, 1.1483185683967962)	('>10', 11.596466732917179)	('>50', 2.6433598778605845)	('>100', 4.416978537243002)	('>500', 1.7008234540192255)	('>1k', 2.9437994283987354)	('>5k', 0.8544464976728665)	('>10k+', 1.235488771554628)
SRR27848288_2	(1.0, 37.3475731225551)	(2.0, 19.76952402738607)	(3.0, 10.244724626875731)	(4.0, 5.460895934661445)	(5.0, 3.267486680989261)	(6.0, 2.161153345229699)	(7.0, 1.514068750253896)	(8.0, 1.1864617813357718)	(9.0, 0.917526091164797)	('>10', 7.210272267862361)	('>50', 1.7191571258772333)	('>100', 3.9436145240159184)	('>500', 1.8150167473816092)	('>1k', 2.574480968960824)	('>5k', 0.6719208973807104)	('>10k+', 0.19612310806952266)
SRR27848289_1	(1.0, 30.10318879654602)	(2.0, 16.640187891363407)	(3.0, 9.262172451255418)	(4.0, 5.356972760354559)	(5.0, 3.5244549923157598)	(6.0, 2.474086533600048)	(7.0, 1.868200555449298)	(8.0, 1.5792585669314987)	(9.0, 1.2798815942381983)	('>10', 12.608352092293273)	('>50', 2.8027189576476816)	('>100', 4.755572025745957)	('>500', 1.829204869362415)	('>1k', 3.3838617385638257)	('>5k', 0.9180460811702115)	('>10k+', 1.6138400931622503)
SRR27848289_2	(1.0, 35.52749616474403)	(2.0, 18.77392037197098)	(3.0, 10.146877738297594)	(4.0, 5.587310376596763)	(5.0, 3.5317574776284317)	(6.0, 2.2885508883432517)	(7.0, 1.625463285851683)	(8.0, 1.3374568224945966)	(9.0, 1.0021024961138463)	('>10', 8.09679531015242)	('>50', 1.7872575988535016)	('>100', 4.133262722453375)	('>500', 1.9493514211478717)	('>1k', 3.113238660954708)	('>5k', 0.8476548929250134)	('>10k+', 0.25150377147194786)
SRR27848290_1	(1.0, 37.8409161262382)	(2.0, 19.049524319196145)	(3.0, 9.664149461865192)	(4.0, 5.133922932351434)	(5.0, 3.171982048423859)	(6.0, 2.0512876617430056)	(7.0, 1.5336743826204668)	(8.0, 1.14912305745905)	(9.0, 0.9837787433578142)	('>10', 8.64994713509154)	('>50', 1.84879227539556)	('>100', 3.3640551856459644)	('>500', 1.3497186798445424)	('>1k', 2.371585920590421)	('>5k', 0.7309446562133916)	('>10k+', 1.1065974139635866)
SRR27848290_2	(1.0, 44.85840625196524)	(2.0, 20.632457668571703)	(3.0, 9.392441441659532)	(4.0, 4.678302460565224)	(5.0, 2.5368516278858912)	(6.0, 1.5384580034756263)	(7.0, 1.1025363285729273)	(8.0, 0.8175596971730099)	(9.0, 0.6113048823109057)	('>10', 4.9468745837594055)	('>50', 1.2712363233882271)	('>100', 3.2555642301136105)	('>500', 1.4804072493698603)	('>1k', 2.107858764975129)	('>5k', 0.5525731706487037)	('>10k+', 0.2171673155650126)
SRR27848291_1	(1.0, 41.809952260610615)	(2.0, 19.66430972160639)	(3.0, 9.567622566397024)	(4.0, 5.147312560374974)	(5.0, 2.9398789870083113)	(6.0, 2.0038449609687774)	(7.0, 1.4251302681246565)	(8.0, 1.072594021540467)	(9.0, 0.8437234578572964)	('>10', 7.130742316707543)	('>50', 1.502065199140222)	('>100', 2.8596473972033363)	('>500', 1.1449663479061718)	('>1k', 1.7062941414611308)	('>5k', 0.5376321079870297)	('>10k+', 0.6442836851060781)
SRR27848291_2	(1.0, 48.84414740913991)	(2.0, 21.140791602497387)	(3.0, 9.194323417659247)	(4.0, 4.282278806030026)	(5.0, 2.2396485446312684)	(6.0, 1.375878054340753)	(7.0, 0.8953960395688347)	(8.0, 0.6380012596935247)	(9.0, 0.5192230366037668)	('>10', 4.023414942807244)	('>50', 1.1707675532089399)	('>100', 2.7757231727109515)	('>500', 1.1261542852183537)	('>1k', 1.470446599652305)	('>5k', 0.12013904635152825)	('>10k+', 0.1836662298857022)
SRR27848292_1	(1.0, 36.9348507840924)	(2.0, 18.625871018342323)	(3.0, 9.569579978085088)	(4.0, 5.231532249876505)	(5.0, 3.2015317589992924)	(6.0, 2.2518448064758707)	(7.0, 1.5098815684665559)	(8.0, 1.2013550930347663)	(9.0, 1.0828734377845193)	('>10', 9.507413824364635)	('>50', 2.0134934451130633)	('>100', 3.5578527811668397)	('>500', 1.4303909514738053)	('>1k', 2.3914932865549754)	('>5k', 0.7074482971161354)	('>10k+', 0.7825867190531534)
SRR27848292_2	(1.0, 43.32676851195869)	(2.0, 20.19752212291683)	(3.0, 9.810432608896942)	(4.0, 4.933529977290776)	(5.0, 2.7786869190685444)	(6.0, 1.8101764365064614)	(7.0, 1.2157214130966016)	(8.0, 0.9151472000346843)	(9.0, 0.7251540590275081)	('>10', 5.55863009361552)	('>50', 1.3767692117771524)	('>100', 3.477911445583711)	('>500', 1.532069446175849)	('>1k', 1.894636406733282)	('>5k', 0.2556642369166709)	('>10k+', 0.1911799104007134)
SRR27848293_1	(1.0, 39.317643532274516)	(2.0, 18.532559465618284)	(3.0, 8.734093056075393)	(4.0, 4.721617655785561)	(5.0, 2.9002667677720764)	(6.0, 1.9599941797481522)	(7.0, 1.5182479643848446)	(8.0, 1.18035613224669)	(9.0, 0.9897146318245955)	('>10', 9.179728035154456)	('>50', 2.041340548731118)	('>100', 3.5499040710396863)	('>500', 1.4309160248971922)	('>1k', 2.3576981762468905)	('>5k', 0.8092954604352286)	('>10k+', 0.7766242977653641)
SRR27848293_2	(1.0, 46.00159723632737)	(2.0, 19.850649962611463)	(3.0, 8.834553363954939)	(4.0, 4.379748000850548)	(5.0, 2.5193823095424777)	(6.0, 1.5451770970971337)	(7.0, 1.1291344952940727)	(8.0, 0.8333931716573189)	(9.0, 0.6809726542200035)	('>10', 5.374594295038421)	('>50', 1.4190740426787198)	('>100', 3.434012880632725)	('>500', 1.4702792673811933)	('>1k', 1.8973098109933375)	('>5k', 0.4254328447009843)	('>10k+', 0.20468856701952334)
SRR27848294_1	(1.0, 37.29628843436497)	(2.0, 19.11484042976359)	(3.0, 9.824905613972552)	(4.0, 5.458469162613241)	(5.0, 3.320800034556802)	(6.0, 2.2168021589323557)	(7.0, 1.5817283018028019)	(8.0, 1.2645237378179635)	(9.0, 0.9039715588236075)	('>10', 8.895207268759934)	('>50', 1.8883841555520933)	('>100', 3.3066414831421884)	('>500', 1.274906343097864)	('>1k', 2.1699568850387205)	('>5k', 0.6925225198118596)	('>10k+', 0.7900519119494883)
SRR27848294_2	(1.0, 43.754656888877484)	(2.0, 20.87502545360687)	(3.0, 9.929597631396105)	(4.0, 4.924657387962027)	(5.0, 2.745204949398362)	(6.0, 1.6883873740415711)	(7.0, 1.207747437291387)	(8.0, 0.8729475814711566)	(9.0, 0.6539313219147028)	('>10', 5.247398786917093)	('>50', 1.2415296503200177)	('>100', 3.194205720418163)	('>500', 1.4105725371792233)	('>1k', 1.7233716794563634)	('>5k', 0.33191644800196834)	('>10k+', 0.1988491517474986)
SRR27848295_1	(1.0, 37.068354198149116)	(2.0, 18.49282657798703)	(3.0, 9.585332883865078)	(4.0, 4.996301006824394)	(5.0, 3.108589576750184)	(6.0, 2.078674458725785)	(7.0, 1.4820644933567642)	(8.0, 1.219211068612308)	(9.0, 0.9568669570770821)	('>10', 8.679743883365038)	('>50', 2.0341502158765934)	('>100', 4.184513472310059)	('>500', 1.6918876125199982)	('>1k', 2.663551372195281)	('>5k', 0.8603061345841119)	('>10k+', 0.8976260878012315)
SRR27848295_2	(1.0, 43.68050565092902)	(2.0, 19.97137177098136)	(3.0, 9.385366671136163)	(4.0, 4.631898620513584)	(5.0, 2.661075166260538)	(6.0, 1.6014455336818822)	(7.0, 1.128983045749544)	(8.0, 0.8095439441951506)	(9.0, 0.61370953314584)	('>10', 5.262875327398318)	('>50', 1.523940222271718)	('>100', 4.075431531578952)	('>500', 1.7564774708916537)	('>1k', 2.204880907161104)	('>5k', 0.46808200051994214)	('>10k+', 0.22441260358548235)
SRR27848296_1	(1.0, 42.83497006294382)	(2.0, 18.688018767207126)	(3.0, 8.796425366906178)	(4.0, 4.624117848324628)	(5.0, 2.726216168071407)	(6.0, 1.9822494442467031)	(7.0, 1.37944855854215)	(8.0, 1.1185750209493361)	(9.0, 0.9033526128461061)	('>10', 8.030056694779576)	('>50', 1.7606672243109718)	('>100', 3.1165978176929)	('>500', 1.1293985163580977)	('>1k', 1.7838391583109743)	('>5k', 0.47699982421230086)	('>10k+', 0.6490669142976958)
SRR27848296_2	(1.0, 50.45597634271874)	(2.0, 19.859655190039312)	(3.0, 8.348276656849105)	(4.0, 3.9422154305095916)	(5.0, 2.1840727297624074)	(6.0, 1.4170973608690167)	(7.0, 0.9181775162722341)	(8.0, 0.7324848633239397)	(9.0, 0.5702039243092264)	('>10', 4.5641580187656405)	('>50', 1.2965931782193478)	('>100', 2.875645256142263)	('>500', 1.0892591719433755)	('>1k', 1.526065900052099)	('>5k', 0.02816063251229005)	('>10k+', 0.19195782771144715)
SRR27848297_1	(1.0, 40.38992660666804)	(2.0, 19.42199033890519)	(3.0, 9.281298260184185)	(4.0, 5.024389915783551)	(5.0, 3.0306642877615553)	(6.0, 1.948802470270256)	(7.0, 1.488629493784915)	(8.0, 1.111083393383109)	(9.0, 0.9242156829006486)	('>10', 7.971257489093264)	('>50', 1.7772050463493814)	('>100', 3.284620114485812)	('>500', 1.2391362359192768)	('>1k', 1.8891927115614326)	('>5k', 0.5561132369631859)	('>10k+', 0.661474715986324)
SRR27848297_2	(1.0, 47.306725574441806)	(2.0, 20.588856272643266)	(3.0, 9.107291162620502)	(4.0, 4.469029123579278)	(5.0, 2.4567715347333494)	(6.0, 1.526835723983333)	(7.0, 0.9969878889153455)	(8.0, 0.7373175279111773)	(9.0, 0.5785441337054091)	('>10', 4.634243115576819)	('>50', 1.251525787830842)	('>100', 3.19343876786191)	('>500', 1.3065702443106448)	('>1k', 1.6333985745885886)	('>5k', 0.07481358821551037)	('>10k+', 0.13765097908233187)
SRR27848298_1	(1.0, 38.98010459183579)	(2.0, 19.08718861088805)	(3.0, 9.392834049223078)	(4.0, 5.307866005417336)	(5.0, 3.211552970745271)	(6.0, 2.2245055720936375)	(7.0, 1.6345614347853283)	(8.0, 1.1832522948193223)	(9.0, 0.97131837997563)	('>10', 8.615563243000105)	('>50', 1.9154912515035167)	('>100', 3.2573212201116246)	('>500', 1.1396607213414662)	('>1k', 1.7634156856891194)	('>5k', 0.6221951461260469)	('>10k+', 0.6931688224446588)
SRR27848298_2	(1.0, 46.04643127800562)	(2.0, 20.61113198400548)	(3.0, 9.509688789668411)	(4.0, 4.745663541917429)	(5.0, 2.5855278109524673)	(6.0, 1.6516809978403781)	(7.0, 1.1310978141345895)	(8.0, 0.856771423753956)	(9.0, 0.6301579159556625)	('>10', 5.000226125407413)	('>50', 1.3418978137823112)	('>100', 2.848636300911145)	('>500', 1.0744746437009556)	('>1k', 1.4700606990241745)	('>5k', 0.31228185453286494)	('>10k+', 0.18427100640723446)
SRR27848299_1	(1.0, 35.19840557990532)	(2.0, 20.421513516231872)	(3.0, 10.954559485395315)	(4.0, 6.294720789718652)	(5.0, 3.7638356961328925)	(6.0, 2.4429876657939684)	(7.0, 1.6762234371215534)	(8.0, 1.3194351375425482)	(9.0, 0.9825131563163036)	('>10', 8.275185516108124)	('>50', 1.7112441247170458)	('>100', 2.9846252011557146)	('>500', 1.0888921896329653)	('>1k', 1.7458503176485285)	('>5k', 0.5895132363574971)	('>10k+', 0.5504949502216815)
SRR27848299_2	(1.0, 41.610172153632305)	(2.0, 22.35744897766124)	(3.0, 11.1800897290631)	(4.0, 5.772393842015496)	(5.0, 3.060942399329813)	(6.0, 1.8197314804856706)	(7.0, 1.1497869230473008)	(8.0, 0.801456313149918)	(9.0, 0.7051358638979155)	('>10', 4.7876937878506345)	('>50', 1.2124954964444494)	('>100', 2.63656639803875)	('>500', 1.1932106901989876)	('>1k', 1.3983091127525413)	('>5k', 0.1923383075299308)	('>10k+', 0.1222285249019816)
SRR27848300_1	(1.0, 40.94448859838484)	(2.0, 19.480903951872474)	(3.0, 9.60430934477755)	(4.0, 5.24485702359106)	(5.0, 3.0665461512210133)	(6.0, 2.1041491942587967)	(7.0, 1.5556072010168436)	(8.0, 1.200123205134353)	(9.0, 0.9071559282645979)	('>10', 7.86364112085261)	('>50', 1.5639160300846322)	('>100', 2.791529104117748)	('>500', 1.0987957953993996)	('>1k', 1.5731145992288538)	('>5k', 0.4677873626111802)	('>10k+', 0.5330753891838198)
SRR27848300_2	(1.0, 48.662496565634214)	(2.0, 20.871431912162304)	(3.0, 9.344794762384678)	(4.0, 4.449974061919705)	(5.0, 2.310065236066508)	(6.0, 1.398244403593231)	(7.0, 1.004978624390432)	(8.0, 0.7248058853099111)	(9.0, 0.574078933072964)	('>10', 4.344976695634659)	('>50', 1.171891169048828)	('>100', 2.567856786578091)	('>500', 1.0632267339301318)	('>1k', 1.2426536995720487)	('>5k', 0.11881394453733557)	('>10k+', 0.14971058616486585)
