Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR27848283_1	49.38585716899687	44.0	49.80039509964736	51	9.090909090909092	33.589501
SRR27848283_2	42.41511934718353	45.0	50.14939373466727	51	9.090909090909092	33.589501
SRR27848284_1	50.31164118719062	43.0	50.318643667767226	51	18.181818181818183	39.429307
SRR27848284_2	43.236848173363285	44.0	50.48064697155342	51	9.090909090909092	39.429307
SRR27848285_1	47.010308810603576	44.0	50.045573928078205	51	9.090909090909092	34.485375
SRR27848285_2	40.050219648692305	44.0	50.289338248460396	51	9.090909090909092	34.485375
SRR27848286_1	49.01060208796291	44.0	49.99711995411337	51	9.090909090909092	27.448521
SRR27848286_2	42.41721386882661	44.0	50.273151037901094	51	9.090909090909092	27.448521
SRR27848287_1	45.770733200579464	44.0	50.02969506622563	51	9.090909090909092	27.571953999999998
SRR27848287_2	39.41303974478133	44.0	50.26893846551463	51	18.181818181818183	27.571953999999998
SRR27848288_1	52.476036060527385	44.0	50.24158880293178	51	18.181818181818183	31.117717
SRR27848288_2	46.03245372232637	45.0	50.44274857953108	51	9.090909090909092	31.117717
SRR27848289_1	54.639896355393944	45.0	50.230252047511435	51	18.181818181818183	30.065521999999998
SRR27848289_2	48.174305042833666	46.0	50.42893916826058	51	9.090909090909092	30.065521999999998
SRR27848290_1	46.13091173980124	44.0	50.27300743181509	51	9.090909090909092	29.195425
SRR27848290_2	39.106931758590115	44.0	50.44321156482565	51	18.181818181818183	29.195425
SRR27848291_1	42.07203364995933	44.0	49.99914290697346	51	9.090909090909092	25.698494
SRR27848291_2	35.24271757659608	44.0	50.25955878970962	51	18.181818181818183	25.698494
SRR27848292_1	47.15451848927896	44.0	50.26788510733384	51	9.090909090909092	25.9564
SRR27848292_2	40.475332432467106	45.0	50.45054965249418	51	18.181818181818183	25.9564
SRR27848293_1	45.36302273274237	44.0	49.99261231010255	51	9.090909090909092	26.382265999999998
SRR27848293_2	38.577558878701346	45.0	50.26313459958292	51	18.181818181818183	26.382265999999998
SRR27848294_1	46.423186093237625	44.0	50.13269260034253	51	9.090909090909092	28.729492
SRR27848294_2	39.73771492057462	44.0	50.3484631750537	51	18.181818181818183	28.729492
SRR27848295_1	47.250832170248	44.0	50.15513748850338	51	9.090909090909092	24.408258999999997
SRR27848295_2	40.56956446263087	45.0	50.374880650029155	51	18.181818181818183	24.408258999999997
SRR27848296_1	41.912127050717416	44.0	50.19073379381871	51	9.090909090909092	21.540315
SRR27848296_2	34.58951015755896	45.0	50.39093611212278	51	9.090909090909092	21.540315
SRR27848297_1	43.65619581283337	44.0	50.14738760675102	51	9.090909090909092	23.309029
SRR27848297_2	36.89269931833488	44.0	50.35613722905403	51	18.181818181818183	23.309029
SRR27848298_1	44.96528910557569	44.0	50.129372300152106	51	9.090909090909092	31.933048999999997
SRR27848298_2	37.83295731796545	44.0	50.349569876650364	51	18.181818181818183	31.933048999999997
SRR27848299_1	47.165105700914324	43.0	50.16864325793211	51	18.181818181818183	32.860697
SRR27848299_2	40.46884298272102	44.0	50.35741463426658	51	18.181818181818183	32.860697
SRR27848300_1	42.86874593551476	43.0	50.139907887370335	51	9.090909090909092	31.358131999999998
SRR27848300_2	35.39890811912349	44.0	50.34521734266569	51	18.181818181818183	31.358131999999998
SRR27848301_1	47.46634182917806	46.0	50.62874283199434	51	18.181818181818183	31.411108
SRR27848301_2	41.11563769404587	47.0	50.6325884779359	51	0.0	31.411108
SRR27848302_1	46.57771577175402	48.0	50.41966873953912	51	18.181818181818183	30.983897
SRR27848302_2	40.58553301082195	48.0	50.540141254665286	51	0.0	30.983897
SRR27848303_1	48.994222075688384	44.0	50.415963785127865	51	18.181818181818183	34.845132
SRR27848303_2	42.514516608606925	45.0	50.530518782365355	51	0.0	34.845132
SRR27848304_1	51.85235332661176	45.0	50.30715614980623	51	27.27272727272727	31.236349999999998
SRR27848304_2	45.87704318083152	46.0	50.461656147405186	51	0.0	31.236349999999998
SRR27848305_1	48.32117647062203	45.0	50.42777406857314	51	18.181818181818183	32.913615
SRR27848305_2	41.704522951496706	45.0	50.54589986545082	51	0.0	32.913615
SRR27848306_1	48.26675543234219	44.0	50.725562042741906	51	9.090909090909092	36.630843999999996
SRR27848306_2	41.486904750992274	45.0	50.770494176983746	51	0.0	36.630843999999996
SRR27848307_1	50.546175696350446	45.0	50.725959061845515	51	27.27272727272727	34.480205999999995
SRR27848307_2	43.85695227855698	46.0	50.752145303308225	51	0.0	34.480205999999995
SRR27848308_1	51.95246961733308	48.0	50.45603352292928	51	27.27272727272727	31.852825
SRR27848308_2	45.83062042848629	48.0	50.58439146292362	51	0.0	31.852825
SRR27848309_1	49.30835719572243	45.0	50.62485013484269	51	18.181818181818183	31.985419999999998
SRR27848309_2	42.752031921666756	46.0	50.695731961625015	51	0.0	31.985419999999998
SRR27848310_1	51.833739840629164	46.0	50.579371433420015	51	27.27272727272727	33.388253
SRR27848310_2	45.380996915642115	46.0	50.666319229101326	51	0.0	33.388253
SRR27848311_1	52.91330787313731	46.0	50.72521691084073	51	27.27272727272727	29.464295
SRR27848311_2	46.16760720256404	47.0	50.77535915928075	51	0.0	29.464295
