Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR27848283_1	(1, 0.0014577043097174487)	(2, 0.007565671910946685)	(3, 0.00011459101520630768)	(4, 1.332453665189624e-05)	(5, 5.329814660758496e-05)	(6, 0.29487732592112453)	(7, 5.3298146607584956e-06)	(8, 0.5888938867745366)	(9, 0.0)	(10, 0.0)	(11, 2.6649073303792478e-06)	(12, 0.0)	(13, 4.796833194682647e-05)	(14, 0.0)	(15, 0.0)	(16, 5.3298146607584956e-06)	(17, 0.0)	(18, 0.0)	(19, 0.00010126647855441142)	(20, 0.00026116091837716633)	(21, 0.0)	(22, 6.395777592910196e-05)	(23, 0.28307978116953564)	(24, 1.0659629321516991e-05)	(25, 0.0)	(26, 1.0659629321516991e-05)	(27, 2.1319258643033982e-05)	(28, 0.0)	(29, 4.2638517286067965e-05)	(30, 3.730870262530947e-05)	(31, 6.395777592910196e-05)	(32, 5.063323927720571e-05)	(33, 0.00014656990317085864)	(34, 1.332453665189624e-05)	(35, 2.3984165973413235e-05)	(36, 0.00041572554353916266)	(37, 0.0002478363817252701)	(38, 5.063323927720571e-05)	(39, 2.3984165973413235e-05)	(40, 0.0)	(41, 2.1319258643033982e-05)	(42, 0.0)	(43, 0.0002318469377429946)	(44, 0.0)	(45, 0.00011192610787592842)	(46, 0.00015456462516199638)	(47, 0.3073544220419602)	(48, 0.00011192610787592842)	(49, 0.0001385751811797209)	(50, 0.0001385751811797209)	(51, 0.0)
SRR27848283_2	(1, 0.0)	(2, 0.0005089973001024364)	(3, 0.0)	(4, 0.0014683639390389656)	(5, 2.664907330379248e-05)	(6, 7.994721991137744e-05)	(7, 0.0)	(8, 0.2973023915917697)	(9, 0.0006075988713264685)	(10, 0.0)	(11, 7.19524979202397e-05)	(12, 1.0659629321516991e-05)	(13, 4.530342461644722e-05)	(14, 7.994721991137745e-06)	(15, 0.00019187332778730588)	(16, 0.0002824801770202003)	(17, 8.794194190251519e-05)	(18, 0.00036775721159233623)	(19, 0.00021319258643033985)	(20, 0.0003357783236277853)	(21, 0.0009407122876238745)	(22, 7.461740525061894e-05)	(23, 0.00010126647855441142)	(24, 0.00014656990317085864)	(25, 0.0001439049958404794)	(26, 0.00023451184507337382)	(27, 0.00022918203041261535)	(28, 5.329814660758496e-05)	(29, 0.0002211873084214776)	(30, 0.00025849601104678706)	(31, 0.0007328495158542931)	(32, 0.00025849601104678706)	(33, 4.2638517286067965e-05)	(34, 0.0006289181299695025)	(35, 0.0010179946002048727)	(36, 0.001140580337402318)	(37, 0.0007808178478011196)	(38, 0.0006529022959429157)	(39, 5.3298146607584956e-06)	(40, 0.00017854879113540962)	(41, 3.4643795294930226e-05)	(42, 6.12928685987227e-05)	(43, 6.12928685987227e-05)	(44, 0.00012525064452782465)	(45, 0.0002851450843505795)	(46, 0.00015456462516199638)	(47, 0.0003411081382885437)	(48, 0.00040240100688726646)	(49, 0.0001998680497784436)	(50, 0.00041039572887840417)	(51, 0.0001225857371974454)
SRR27848284_1	(1, 0.0014564576209934231)	(2, 0.007131620075209176)	(3, 6.4572012753403e-05)	(4, 9.56622411161526e-06)	(5, 4.304800850226867e-05)	(6, 0.28583399334300813)	(7, 7.174668083711445e-06)	(8, 0.5707328882791058)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 4.304800850226867e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00011718624536728693)	(20, 0.00013871024961842126)	(21, 0.0)	(22, 9.80537971440564e-05)	(23, 0.2814287471396093)	(24, 2.391556027903815e-06)	(25, 0.0)	(26, 0.0)	(27, 3.587334041855722e-05)	(28, 0.0)	(29, 4.78311205580763e-06)	(30, 5.022267658598011e-05)	(31, 3.109022836274959e-05)	(32, 2.3915560279038148e-05)	(33, 0.0001458849177021327)	(34, 0.0)	(35, 0.0)	(36, 0.00038982363254832185)	(37, 4.065645247436485e-05)	(38, 3.826489644646104e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.00011718624536728693)	(44, 0.0)	(45, 2.630711630694196e-05)	(46, 0.0)	(47, 0.2968495004075331)	(48, 7.174668083711444e-05)	(49, 0.00010762002125567168)	(50, 2.630711630694196e-05)	(51, 0.0)
SRR27848284_2	(1, 4.78311205580763e-06)	(2, 0.00048787742969237825)	(3, 0.0)	(4, 0.0012077357940914264)	(5, 0.0)	(6, 3.348178439065341e-05)	(7, 0.0)	(8, 0.2918248411929072)	(9, 0.00040417296871574467)	(10, 0.0)	(11, 0.0)	(12, 1.1957780139519074e-05)	(13, 6.218045672549918e-05)	(14, 0.0)	(15, 1.913244822323052e-05)	(16, 0.00019849915031601662)	(17, 6.935512480921063e-05)	(18, 0.00022719782265086242)	(19, 9.327068508824878e-05)	(20, 0.00020567381839972808)	(21, 0.0008059543814035856)	(22, 2.1524004251134336e-05)	(23, 5.500578864178774e-05)	(24, 9.327068508824878e-05)	(25, 0.00018414981414859372)	(26, 0.00012436091345099836)	(27, 0.00015545114181374797)	(28, 2.869867233484578e-05)	(29, 0.0002128484864834395)	(30, 0.00013392713756261364)	(31, 0.00035873340418557224)	(32, 0.00020567381839972808)	(33, 4.78311205580763e-06)	(34, 0.00039699830063203323)	(35, 0.0009924957515800832)	(36, 0.0008585686140174694)	(37, 0.0006241961232828956)	(38, 0.0004615703133854362)	(39, 0.0)	(40, 0.00010283690919986404)	(41, 2.391556027903815e-06)	(42, 0.0)	(43, 1.913244822323052e-05)	(44, 2.391556027903815e-06)	(45, 0.00022002315456715095)	(46, 0.00012196935742309456)	(47, 0.00023437249073457385)	(48, 0.00015066802975794032)	(49, 4.543956453017248e-05)	(50, 0.0002774204992368425)	(51, 0.00010522846522776784)
SRR27848285_1	(1, 0.0016077310075743986)	(2, 0.008264785299657757)	(3, 4.412297790941746e-05)	(4, 1.6546116716031548e-05)	(5, 1.930380283537014e-05)	(6, 0.29180731440393237)	(7, 3.03345473127245e-05)	(8, 0.5845991227524686)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 3.860760567074028e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00012961124760891378)	(20, 0.000182007283876347)	(21, 0.0)	(22, 0.000121338189250898)	(23, 0.2833550064481596)	(24, 8.273058358015774e-06)	(25, 0.0)	(26, 0.0)	(27, 8.548826969949632e-05)	(28, 0.0)	(29, 0.0)	(30, 2.4819175074047318e-05)	(31, 2.757686119338591e-05)	(32, 2.757686119338591e-05)	(33, 0.00020958414506973294)	(34, 0.0)	(35, 5.5153722386771826e-06)	(36, 0.0004577758958102062)	(37, 6.618446686412619e-05)	(38, 3.860760567074028e-05)	(39, 3.3092233432063095e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.00014339967820560675)	(44, 0.0)	(45, 1.930380283537014e-05)	(46, 0.0)	(47, 0.303328927010529)	(48, 6.618446686412619e-05)	(49, 5.2396036267433234e-05)	(50, 2.4819175074047318e-05)	(51, 5.5153722386771826e-06)
SRR27848285_2	(1, 0.00017373422551833124)	(2, 0.0005653256544644111)	(3, 5.5153722386771826e-06)	(4, 0.0011278936228094837)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.2951634184111674)	(9, 0.0003722876261107098)	(10, 0.0)	(11, 5.5153722386771826e-06)	(12, 2.7576861193385913e-06)	(13, 7.721521134148056e-05)	(14, 0.0)	(15, 8.273058358015774e-06)	(16, 0.00014064199208626814)	(17, 0.00020958414506973294)	(18, 0.00029231472864989065)	(19, 8.824595581883492e-05)	(20, 0.0004908681292422692)	(21, 0.0008879749304270264)	(22, 6.0669094625449e-05)	(23, 0.00011858050313155941)	(24, 0.0002950724147692292)	(25, 0.0002978301008885678)	(26, 9.651901417685068e-05)	(27, 0.0001516727365636225)	(28, 1.930380283537014e-05)	(29, 0.00026473786745650476)	(30, 0.00013512661984759096)	(31, 0.000755605996698774)	(32, 0.0005101719320776394)	(33, 5.791140850611042e-05)	(34, 0.0005349911071516867)	(35, 0.0009927670029618928)	(36, 0.0008576403831143019)	(37, 0.00060669094625449)	(38, 0.00033368002043996953)	(39, 0.0)	(40, 8.273058358015774e-05)	(41, 1.1030744477354365e-05)	(42, 3.3092233432063095e-05)	(43, 3.584991955140169e-05)	(44, 5.5153722386771826e-06)	(45, 0.00019303802835370136)	(46, 4.136529179007887e-05)	(47, 0.0002730109258145205)	(48, 0.00013512661984759096)	(49, 0.0003088608453659222)	(50, 0.0002288879479051031)	(51, 4.688066402875605e-05)
SRR27848286_1	(1, 0.0015424474981219998)	(2, 0.007996948894928664)	(3, 5.631654151358214e-05)	(4, 1.2514787003018255e-05)	(5, 3.4415664258300195e-05)	(6, 0.2878494871596721)	(7, 6.257393501509127e-06)	(8, 0.5728768898501635)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 5.005914801207302e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00012201917327942798)	(20, 0.00019085050179602837)	(21, 1.877218050452738e-05)	(22, 0.00014392005053470993)	(23, 0.28316895682054327)	(24, 0.0)	(25, 0.0)	(26, 3.1286967507545637e-06)	(27, 8.134611551961865e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 3.1286967507545635e-05)	(33, 0.0001814644115437647)	(34, 0.0)	(35, 0.0)	(36, 0.00046617581586242996)	(37, 1.2514787003018255e-05)	(38, 8.134611551961865e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 4.380175451056389e-05)	(44, 0.0)	(45, 5.005914801207302e-05)	(46, 0.0)	(47, 0.2968006885635809)	(48, 6.570263176584583e-05)	(49, 9.38609025226369e-06)	(50, 6.257393501509127e-06)	(51, 0.0)
SRR27848286_2	(1, 0.00014079135378395537)	(2, 0.0005318784476282758)	(3, 3.754436100905476e-05)	(4, 0.0008916785739650506)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.2975171601195037)	(9, 0.00019085050179602837)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 8.760350902112777e-05)	(14, 0.0)	(15, 1.2514787003018255e-05)	(16, 0.0001032469927749006)	(17, 0.00016582092778999187)	(18, 0.0002628105270633833)	(19, 1.2514787003018255e-05)	(20, 0.0006507689241569492)	(21, 0.0009229655414725961)	(22, 5.005914801207302e-05)	(23, 6.570263176584583e-05)	(24, 0.0004724332093639391)	(25, 0.0003347705523307383)	(26, 3.1286967507545635e-05)	(27, 2.502957400603651e-05)	(28, 1.5643483753772818e-05)	(29, 0.00018459310829451925)	(30, 4.693045126131845e-05)	(31, 0.0008416194259529776)	(32, 0.00015956353428848275)	(33, 5.944523826433671e-05)	(34, 0.0005475219313820486)	(35, 0.0006789271949137403)	(36, 0.00028471140431866524)	(37, 0.0002565531335618742)	(38, 0.00013766265703320078)	(39, 0.0)	(40, 4.693045126131845e-05)	(41, 0.0)	(42, 9.38609025226369e-06)	(43, 0.0)	(44, 3.1286967507545637e-06)	(45, 0.0001032469927749006)	(46, 5.631654151358214e-05)	(47, 5.631654151358214e-05)	(48, 3.1286967507545637e-06)	(49, 0.00035980012633677477)	(50, 0.00015956353428848275)	(51, 2.815827075679107e-05)
SRR27848287_1	(1, 0.001417900868317012)	(2, 0.007712832742632635)	(3, 4.1098575893246724e-05)	(4, 2.7399050595497816e-05)	(5, 5.13732198665584e-05)	(6, 0.28671394007526246)	(7, 1.3699525297748908e-05)	(8, 0.572167523823132)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 1.3699525297748908e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00011987084635530294)	(20, 0.00022261728608841976)	(21, 0.0)	(22, 8.219715178649345e-05)	(23, 0.28440557006259176)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 6.849762648874454e-06)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 4.794833854212118e-05)	(32, 3.7673694568809494e-05)	(33, 0.0001917933541684847)	(34, 0.0)	(35, 6.849762648874454e-06)	(36, 0.00041441064025690444)	(37, 1.0274643973311681e-05)	(38, 4.1098575893246724e-05)	(39, 0.0)	(40, 0.0)	(41, 2.397416927106059e-05)	(42, 0.0)	(43, 2.7399050595497816e-05)	(44, 0.0)	(45, 8.219715178649345e-05)	(46, 5.8222982515432856e-05)	(47, 0.3030471991115036)	(48, 9.932155840867957e-05)	(49, 4.794833854212118e-05)	(50, 0.00014726989695080077)	(51, 0.0)
SRR27848287_2	(1, 0.00014726989695080077)	(2, 0.0005205819613144585)	(3, 0.0)	(4, 0.0009623916521668608)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.29747834207796864)	(9, 0.0002294670487372942)	(10, 0.0)	(11, 1.7124406622186135e-05)	(12, 3.424881324437227e-06)	(13, 6.164786383987008e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0001917933541684847)	(17, 0.00015069477827523797)	(18, 0.0002911149125771643)	(19, 1.3699525297748908e-05)	(20, 0.00048633314807008623)	(21, 0.000708950434158506)	(22, 0.0001027464397331168)	(23, 9.247179575980513e-05)	(24, 0.00028426514992828985)	(25, 0.00016096942224854967)	(26, 7.877227046205622e-05)	(27, 5.8222982515432856e-05)	(28, 6.849762648874454e-06)	(29, 0.000226042167412857)	(30, 0.00019521823549292192)	(31, 0.0006301781636964497)	(32, 0.00039043647098584383)	(33, 3.424881324437227e-05)	(34, 0.0005377063679366447)	(35, 0.0008699198564070557)	(36, 0.0006301781636964497)	(37, 0.00041783552158134173)	(38, 0.0003048144378749132)	(39, 0.0)	(40, 8.219715178649345e-05)	(41, 0.0)	(42, 3.424881324437227e-06)	(43, 3.424881324437227e-05)	(44, 6.849762648874454e-06)	(45, 0.00017124406622186136)	(46, 6.507274516430731e-05)	(47, 0.00021234264211510804)	(48, 6.849762648874454e-06)	(49, 0.00021919240476398253)	(50, 0.00025001633668391755)	(51, 8.90469144353679e-05)
