Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR27848283_1	(1, 33.141393240734374)	(2, 33.41388683742842)	(3, 33.21458278863738)	(4, 33.335008245356526)	(5, 33.399799657596716)	(6, 33.29200820674202)	(7, 33.45747795248881)	(8, 33.29725135861639)	(9, 33.531123732526765)	(10, 33.39500735474449)	(11, 33.503491788101385)	(12, 33.468626272516566)	(13, 33.514890236331176)	(14, 33.50661996292208)	(15, 33.50712789425925)	(16, 33.504253098827526)	(17, 33.50388672736775)	(18, 33.50720421720519)	(19, 33.50173470810218)	(20, 33.508657604365034)	(21, 33.51493404740769)	(22, 33.52079135382542)	(23, 33.422853717613684)	(24, 33.51450297199793)	(25, 33.49968267615964)	(26, 33.53738125472738)	(27, 33.54523878728915)	(28, 33.55216056429093)	(29, 33.536098048549654)	(30, 33.53291348428985)	(31, 33.542679836674225)	(32, 33.53240198197686)	(33, 33.5469410234955)	(34, 33.53671412182629)	(35, 33.52074743615262)	(36, 33.50473086341372)	(37, 33.50331222664546)	(38, 33.527990227891415)	(39, 33.53565695308833)	(40, 33.5037577991511)	(41, 33.49355706687188)	(42, 33.34631230256868)	(43, 33.48529601404214)	(44, 33.32765246154692)	(45, 32.48209367485045)	(46, 32.430085343390765)	(47, 33.36217116609176)	(48, 32.54997893790492)	(49, 31.54248870952049)	(50, 31.633380543943296)	(51, 32.163268852080776)
SRR27848283_2	(1, 33.15605684002164)	(2, 33.257172324926714)	(3, 33.13617966933137)	(4, 33.17824150067114)	(5, 33.308620279672965)	(6, 33.283864036747794)	(7, 33.30938334923795)	(8, 33.207295759436896)	(9, 33.338823486585135)	(10, 33.207496693449606)	(11, 33.232964786420865)	(12, 33.16503011598449)	(13, 33.237834318287526)	(14, 33.21245235512118)	(15, 33.191785252600035)	(16, 33.233613744653965)	(17, 33.213390668992204)	(18, 33.271793392292984)	(19, 33.29768675117603)	(20, 33.26004658737697)	(21, 33.27722575258782)	(22, 33.29293543459855)	(23, 33.313298258000714)	(24, 33.29729399713368)	(25, 33.24864526104726)	(26, 33.25548847658094)	(27, 33.25947341910835)	(28, 33.199418293368296)	(29, 33.19784471888785)	(30, 33.16443626803499)	(31, 33.17872363570535)	(32, 33.16255068620431)	(33, 33.094934685386505)	(34, 32.97595227598676)	(35, 32.912332730096026)	(36, 32.95670535588012)	(37, 33.05463323853103)	(38, 33.13951789214784)	(39, 33.19130130542884)	(40, 33.22877352676794)	(41, 33.27213503341274)	(42, 33.25079845287206)	(43, 33.277645582088645)	(44, 33.27114368788584)	(45, 33.235803818796214)	(46, 33.240865863568416)	(47, 33.16791311933079)	(48, 33.10031241508106)	(49, 33.07615977366622)	(50, 33.02383490451384)	(51, 32.9321800538242)
SRR27848284_1	(1, 33.18777935915434)	(2, 33.37391201240567)	(3, 33.17891486541244)	(4, 33.3237161212472)	(5, 33.39379512223494)	(6, 33.291529651432384)	(7, 33.429585188672604)	(8, 33.273812382573105)	(9, 33.524659107005895)	(10, 33.39789204903522)	(11, 33.49849165757098)	(12, 33.45707306402164)	(13, 33.4856782265158)	(14, 33.487040552491536)	(15, 33.48327763040611)	(16, 33.48813028891121)	(17, 33.490824902918966)	(18, 33.490104996723446)	(19, 33.487956805436944)	(20, 33.49103239431995)	(21, 33.499874311772956)	(22, 33.49497999236185)	(23, 33.40732118915532)	(24, 33.49107357691475)	(25, 33.481541791209935)	(26, 33.518102416999795)	(27, 33.524015539278786)	(28, 33.531342071170265)	(29, 33.52384196014228)	(30, 33.51592217886252)	(31, 33.522629919547335)	(32, 33.50647988518426)	(33, 33.52859895640626)	(34, 33.51570162956562)	(35, 33.50500113826109)	(36, 33.495710134417166)	(37, 33.497447791195924)	(38, 33.496485429050296)	(39, 33.48762294421545)	(40, 33.4643953389434)	(41, 33.4863054838308)	(42, 33.41342056581776)	(43, 33.48334454614377)	(44, 33.338701993967014)	(45, 32.893369437219754)	(46, 32.920435872565555)	(47, 33.37623976171875)	(48, 32.97223984599719)	(49, 32.719965793095824)	(50, 33.36421468319261)	(51, 33.00670742978254)
SRR27848284_2	(1, 33.20160068758192)	(2, 33.30232771822285)	(3, 33.17339424530874)	(4, 33.20244988129631)	(5, 33.33754161098227)	(6, 33.30535820235917)	(7, 33.35237222388475)	(8, 33.26429461138662)	(9, 33.40805563601149)	(10, 33.28568908896328)	(11, 33.33426010912527)	(12, 33.28060593228821)	(13, 33.337168815228644)	(14, 33.314950016120285)	(15, 33.29965697194425)	(16, 33.328565479404986)	(17, 33.30958919979037)	(18, 33.34902615001499)	(19, 33.3633314815515)	(20, 33.33130457635486)	(21, 33.3493712037187)	(22, 33.35820006327579)	(23, 33.36893250576885)	(24, 33.35304056813231)	(25, 33.316274268524054)	(26, 33.33681720866142)	(27, 33.34996794477878)	(28, 33.30889459625763)	(29, 33.31385056998314)	(30, 33.287619122508914)	(31, 33.29867346844333)	(32, 33.282108594771664)	(33, 33.272691268938345)	(34, 33.26094117152429)	(35, 33.26361784886184)	(36, 33.265635030709134)	(37, 33.24076590921065)	(38, 33.18040160013274)	(39, 33.14763809567951)	(40, 33.15729878625422)	(41, 33.210741980018504)	(42, 33.21023095232646)	(43, 33.251175587302185)	(44, 33.240117510540365)	(45, 33.213256366364)	(46, 33.24330244136497)	(47, 33.204268850980014)	(48, 33.16148635302797)	(49, 33.183240377137864)	(50, 33.16664646997601)	(51, 33.08140887809213)
SRR27848285_1	(1, 33.19702897928247)	(2, 33.4026369821979)	(3, 33.21931395112029)	(4, 33.35368435828023)	(5, 33.41720236328185)	(6, 33.31011104236813)	(7, 33.43584228076085)	(8, 33.26745272671041)	(9, 33.53139571871988)	(10, 33.415063777696304)	(11, 33.503401840231525)	(12, 33.45829971828857)	(13, 33.49000439437283)	(14, 33.4921605188421)	(15, 33.48952742498163)	(16, 33.492699315556095)	(17, 33.49770567409087)	(18, 33.49499034603032)	(19, 33.50389833404045)	(20, 33.485620941978695)	(21, 33.50515832082838)	(22, 33.496787916150346)	(23, 33.3961474297607)	(24, 33.47312035079974)	(25, 33.48525714802584)	(26, 33.525732424197756)	(27, 33.51884929479761)	(28, 33.526743998620056)	(29, 33.523718099948745)	(30, 33.51724465239849)	(31, 33.522198118513494)	(32, 33.50305591608471)	(33, 33.50900402442924)	(34, 33.49621718543109)	(35, 33.48686592695413)	(36, 33.501932820835755)	(37, 33.48892404325872)	(38, 33.500414163089836)	(39, 33.50422136939247)	(40, 33.50482910825945)	(41, 33.48511981525709)	(42, 33.46162157183421)	(43, 33.49328030486772)	(44, 33.41805597744323)	(45, 33.09893720155804)	(46, 33.01036473570267)	(47, 33.36303374153063)	(48, 32.684103883690725)	(49, 32.562429367040714)	(50, 33.31444921355618)	(51, 32.55522518782256)
SRR27848285_2	(1, 33.23817812363451)	(2, 33.29419593938992)	(3, 33.169493152458536)	(4, 33.21140534855981)	(5, 33.34154541005896)	(6, 33.31388774866228)	(7, 33.35379025342722)	(8, 33.27151088244991)	(9, 33.41919611519241)	(10, 33.3022333810459)	(11, 33.346042920350996)	(12, 33.29418485349172)	(13, 33.35892975304783)	(14, 33.33685265558969)	(15, 33.31553094351335)	(16, 33.35123553300626)	(17, 33.32688560580228)	(18, 33.36586224502951)	(19, 33.37886280470191)	(20, 33.3452264797985)	(21, 33.36777359727883)	(22, 33.369466871709825)	(23, 33.38346736836909)	(24, 33.37022385654958)	(25, 33.33344509315946)	(26, 33.36192564809416)	(27, 33.373805208359045)	(28, 33.3349164841653)	(29, 33.33588867882981)	(30, 33.30575737298408)	(31, 33.31994826029303)	(32, 33.29726496827213)	(33, 33.26529362394014)	(34, 33.22916705331724)	(35, 33.20901675115068)	(36, 33.16820647126898)	(37, 33.10924752811358)	(38, 33.1125959657534)	(39, 33.13445559208417)	(40, 33.1614506366601)	(41, 33.238322626387166)	(42, 33.23510622675874)	(43, 33.267983084904884)	(44, 33.266392230936354)	(45, 33.238690722330375)	(46, 33.257118849515415)	(47, 33.19930919962711)	(48, 33.15169554262783)	(49, 33.1562909507771)	(50, 33.11564210584082)	(51, 33.01869835284787)
SRR27848286_1	(1, 33.11179121330547)	(2, 33.43678527660339)	(3, 33.226898782592805)	(4, 33.344083368505096)	(5, 33.40769715717227)	(6, 33.30291685269376)	(7, 33.48110163915551)	(8, 33.32040338912947)	(9, 33.535346670550425)	(10, 33.41508995472463)	(11, 33.51058453754264)	(12, 33.48019569372437)	(13, 33.5317591191342)	(14, 33.519009554727006)	(15, 33.530475665153105)	(16, 33.51865307101922)	(17, 33.509302209892375)	(18, 33.51614235445068)	(19, 33.51683141862307)	(20, 33.506933285860576)	(21, 33.522042575931124)	(22, 33.53785407070041)	(23, 33.42498026574525)	(24, 33.52717063505348)	(25, 33.50872171149724)	(26, 33.54949576358816)	(27, 33.55168904258438)	(28, 33.5677511459634)	(29, 33.542539982397955)	(30, 33.53984811428754)	(31, 33.54843407163276)	(32, 33.51715924346861)	(33, 33.53751904985234)	(34, 33.52538214684288)	(35, 33.5158577056203)	(36, 33.51251050068847)	(37, 33.50588936490272)	(38, 33.40860654416984)	(39, 33.502472139737606)	(40, 33.32783504509547)	(41, 33.48746184163225)	(42, 33.0840863532818)	(43, 33.48708183012491)	(44, 33.12405889583911)	(45, 32.15346069840646)	(46, 32.222199855516784)	(47, 33.36563664755137)	(48, 33.412600450720056)	(49, 33.33808346674618)	(50, 33.44515097369736)	(51, 33.2617930123061)
SRR27848286_2	(1, 33.13666735602285)	(2, 33.25418339606892)	(3, 33.13699061297114)	(4, 33.172601752257904)	(5, 33.296649134492974)	(6, 33.280674384327234)	(7, 33.30098488245017)	(8, 33.16817689901725)	(9, 33.29549814953231)	(10, 33.153370279070366)	(11, 33.146713350993785)	(12, 33.06055980519483)	(13, 33.162303021163446)	(14, 33.13596790457725)	(15, 33.09127265684861)	(16, 33.158774914985486)	(17, 33.127444771462784)	(18, 33.198825549813705)	(19, 33.22931275985782)	(20, 33.17977109828832)	(21, 33.198136610789184)	(22, 33.20796541163168)	(23, 33.24639625757809)	(24, 33.237424719645304)	(25, 33.18096701133433)	(26, 33.17951216734523)	(27, 33.167001823091596)	(28, 33.11438465261611)	(29, 33.10292555047073)	(30, 33.068111290246385)	(31, 33.10099420596649)	(32, 33.08910572147904)	(33, 33.110027504373136)	(34, 33.09661127726229)	(35, 32.99706152801169)	(36, 32.98440701341178)	(37, 33.04498534049137)	(38, 33.03279900407325)	(39, 33.02382458773945)	(40, 33.05592595501122)	(41, 33.13598655160989)	(42, 33.13373927130775)	(43, 33.19558659778945)	(44, 33.179714218581395)	(45, 33.1314092056896)	(46, 33.15674013576667)	(47, 33.08978020592456)	(48, 32.996423649318146)	(49, 33.010175648164285)	(50, 32.97547771288513)	(51, 32.930004733718185)
SRR27848287_1	(1, 33.181693310645095)	(2, 33.40824386744175)	(3, 33.19412062952607)	(4, 33.33916442211361)	(5, 33.41373950051257)	(6, 33.30607143781861)	(7, 33.45021496610121)	(8, 33.290233827607636)	(9, 33.539903360808644)	(10, 33.422872015061806)	(11, 33.50932054053395)	(12, 33.463355002785796)	(13, 33.49730996121254)	(14, 33.49449032491575)	(15, 33.49079843984326)	(16, 33.494655541190845)	(17, 33.49800754104069)	(18, 33.497380993251205)	(19, 33.508379794131756)	(20, 33.492335184093534)	(21, 33.50543590314052)	(22, 33.498166181543645)	(23, 33.39274806038696)	(24, 33.486142998658956)	(25, 33.48527074988325)	(26, 33.51957552568846)	(27, 33.505613174997876)	(28, 33.51825742586194)	(29, 33.52114823119264)	(30, 33.51452272977289)	(31, 33.5178717842248)	(32, 33.44988967087301)	(33, 33.520344343048166)	(34, 33.500661413081374)	(35, 33.49358225188139)	(36, 33.49826803751423)	(37, 33.49643449304838)	(38, 33.5102373812645)	(39, 33.3969851865663)	(40, 33.4964503160001)	(41, 33.47156492280386)	(42, 33.46426287032728)	(43, 33.49203968533286)	(44, 33.3937403855019)	(45, 33.00141105110567)	(46, 32.96248357598161)	(47, 33.36869272142851)	(48, 32.611161578640136)	(49, 32.41194198579825)	(50, 33.29951826989243)	(51, 32.53206188952347)
SRR27848287_2	(1, 33.2907589304123)	(2, 33.35002150140495)	(3, 33.2180062998637)	(4, 33.246944149638274)	(5, 33.370136103413884)	(6, 33.34262492220382)	(7, 33.37599360944544)	(8, 33.28047051841607)	(9, 33.42870698537425)	(10, 33.30683395339668)	(11, 33.341282505719896)	(12, 33.28449338401975)	(13, 33.35368434348381)	(14, 33.33207793166759)	(15, 33.30667106604089)	(16, 33.34822412368589)	(17, 33.32244278153518)	(18, 33.370008012852345)	(19, 33.3856288965731)	(20, 33.3515431761774)	(21, 33.37637007240062)	(22, 33.37736486343012)	(23, 33.391749570485636)	(24, 33.375413640041955)	(25, 33.335789270066)	(26, 33.35529424319918)	(27, 33.36708268471789)	(28, 33.332455079599036)	(29, 33.33347459827169)	(30, 33.305998487846395)	(31, 33.32318378885853)	(32, 33.294198538726434)	(33, 33.236690465938665)	(34, 33.22947389849994)	(35, 33.20514895288363)	(36, 33.19917431591078)	(37, 33.188885698421664)	(38, 33.21420022924786)	(39, 33.22339493964195)	(40, 33.19425447388822)	(41, 33.224348974583684)	(42, 33.20618045864093)	(43, 33.25468869678197)	(44, 33.25642798851377)	(45, 33.242362000914305)	(46, 33.272310122181956)	(47, 33.226223206639666)	(48, 33.19421933460583)	(49, 33.201334114571594)	(50, 33.17242058145443)	(51, 33.07833662555759)
