Sample	Unique Reads	Duplicate Reads
SRR27848283_1	16984785	20539972
SRR27848283_2	19376128	18148629
SRR27848284_1	19620189	22193592
SRR27848284_2	22503650	19310131
SRR27848285_1	18318592	17943693
SRR27848285_2	20754847	15507438
SRR27848286_1	13902631	18059559
SRR27848286_2	15783974	16178216
SRR27848287_1	14953652	14244440
SRR27848287_2	16731959	12466133
SRR27848288_1	14748240	19889897
SRR27848288_2	16777701	17860436
SRR27848289_1	13684636	17175894
SRR27848289_2	15718213	15142317
SRR27848290_1	15774238	14443054
SRR27848290_2	17857440	12359852
SRR27848291_1	14624972	19632678
SRR27848291_2	16427026	17830624
SRR27848292_1	13682006	14479610
SRR27848292_2	15465849	12695767
SRR27848293_1	14334188	16832743
SRR27848293_2	16089781	15077150
SRR27848294_1	15448022	14630812
SRR27848294_2	17412711	12666123
SRR27848295_1	12692250	18790216
SRR27848295_2	14355873	17126593
SRR27848296_1	12413520	12944842
SRR27848296_2	14007550	11350812
SRR27848297_1	13116917	11910404
SRR27848297_2	14717852	10309469
SRR27848298_1	17432814	18252298
SRR27848298_2	19735540	15949572
SRR27848299_1	17373846	17085467
SRR27848299_2	19615460	14843853
SRR27848300_1	17926154	15243654
SRR27848300_2	20323390	12846418
SRR27848301_1	16602883	15217569
SRR27848301_2	18642548	13177904
SRR27848302_1	16620245	15970060
SRR27848302_2	18520624	14069681
SRR27848303_1	17870473	18036744
SRR27848303_2	20158817	15748400
SRR27848304_1	15124363	16717202
SRR27848304_2	17020210	14821355
SRR27848305_1	17105118	16532278
SRR27848305_2	19326343	14311053
SRR27848306_1	19107733	18224170
SRR27848306_2	21636433	15695470
SRR27848307_1	17161428	17946515
SRR27848307_2	19507534	15600409
SRR27848308_1	15258613	19890862
SRR27848308_2	17290159	17859316
SRR27848309_1	16277998	17193407
SRR27848309_2	18401087	15070318
SRR27848310_1	16205676	17923606
SRR27848310_2	18404102	15725180
SRR27848311_1	14003220	16193025
SRR27848311_2	16039392	14156853
