Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR27848283_1	54.73712333698458	45.0	51.0	51	45.45454545454545	37.524757
SRR27848283_2	48.36441703990428	50.0	51.0	51	27.27272727272727	37.524757
SRR27848284_1	53.077220541335116	44.0	51.0	51	45.45454545454545	41.813781
SRR27848284_2	46.1812620910248	47.0	51.0	51	27.27272727272727	41.813781
SRR27848285_1	49.483074204381715	44.0	51.0	51	36.36363636363637	36.262285
SRR27848285_2	42.76464680346835	47.0	51.0	51	27.27272727272727	36.262285
SRR27848286_1	56.50288570305049	44.0	51.0	51	45.45454545454545	31.96219
SRR27848286_2	50.616734379119116	52.0	51.0	51	45.45454545454545	31.96219
SRR27848287_1	48.785519456361556	44.0	51.0	51	27.27272727272727	29.198092
SRR27848287_2	42.695026257390914	47.0	51.0	51	27.27272727272727	29.198092
SRR27848288_1	57.42196040872168	45.0	51.0	51	45.45454545454545	34.638137
SRR27848288_2	51.562923360500974	51.0	51.0	51	36.36363636363637	34.638137
SRR27848289_1	55.656511787666034	45.0	51.0	51	27.27272727272727	30.860529999999997
SRR27848289_2	49.066938760353715	47.0	51.0	51	18.181818181818183	30.860529999999997
SRR27848290_1	47.79731424543336	44.0	51.0	51	27.27272727272727	30.217291999999997
SRR27848290_2	40.90324271808553	46.0	51.0	51	18.181818181818183	30.217291999999997
SRR27848291_1	57.30888772374383	46.0	51.0	51	45.45454545454545	34.25765
SRR27848291_2	52.048591199402786	58.0	51.0	51	54.54545454545454	34.25765
SRR27848292_1	51.4161199912467	45.0	51.0	51	45.45454545454545	28.161616
SRR27848292_2	45.08181451018892	49.0	51.0	51	27.27272727272727	28.161616
SRR27848293_1	54.0083441734564	46.0	51.0	51	45.45454545454545	31.166930999999998
SRR27848293_2	48.37547306241693	53.0	51.0	51	45.45454545454545	31.166930999999998
SRR27848294_1	48.64155357147042	44.0	51.0	51	27.27272727272727	30.078833999999997
SRR27848294_2	42.10975528504146	47.0	51.0	51	18.181818181818183	30.078833999999997
SRR27848295_1	59.68470432751385	45.0	51.0	51	45.45454545454545	31.482466
SRR27848295_2	54.400418115151666	57.0	51.0	51	54.54545454545454	31.482466
SRR27848296_1	51.04762932925125	45.0	51.0	51	45.45454545454545	25.358362
SRR27848296_2	44.76161408371372	53.0	51.0	51	36.36363636363637	25.358362
SRR27848297_1	47.58961125739572	44.0	51.0	51	27.27272727272727	25.027321
SRR27848297_2	41.19286232189443	48.0	51.0	51	27.27272727272727	25.027321
SRR27848298_1	51.14821656882063	44.0	51.0	51	45.45454545454545	35.685112
SRR27848298_2	44.695313625233815	50.0	51.0	51	36.36363636363637	35.685112
SRR27848299_1	49.581567988691056	44.0	51.0	51	36.36363636363637	34.459313
SRR27848299_2	43.07646352860309	46.0	51.0	51	36.36363636363637	34.459313
SRR27848300_1	45.95641518258164	44.0	51.0	51	27.27272727272727	33.169807999999996
SRR27848300_2	38.729250912022714	47.0	51.0	51	27.27272727272727	33.169807999999996
SRR27848301_1	47.82323410604612	46.0	51.0	51	18.181818181818183	31.820452
SRR27848301_2	41.41331740651301	47.0	51.0	51	0.0	31.820452
SRR27848302_1	49.002489169769945	48.0	51.0	51	27.27272727272727	32.590305
SRR27848302_2	43.17137113586862	50.0	51.0	51	9.090909090909092	32.590305
SRR27848303_1	50.23153102021312	45.0	51.0	51	27.27272727272727	35.907216999999996
SRR27848303_2	43.85859283331763	47.0	51.0	51	9.090909090909092	35.907216999999996
SRR27848304_1	52.501197280890324	46.0	51.0	51	27.27272727272727	31.841565
SRR27848304_2	46.54719481591291	47.0	51.0	51	9.090909090909092	31.841565
SRR27848305_1	49.14850913998511	45.0	51.0	51	27.27272727272727	33.637395999999995
SRR27848305_2	42.54506843619708	46.0	51.0	51	9.090909090909092	33.637395999999995
SRR27848306_1	48.81661255064497	44.0	51.0	51	18.181818181818183	37.331903
SRR27848306_2	42.043050148209936	46.0	51.0	51	9.090909090909092	37.331903
SRR27848307_1	51.118104894753245	45.0	51.0	51	27.27272727272727	35.107943
SRR27848307_2	44.435556578736126	46.0	51.0	51	0.0	35.107943
SRR27848308_1	56.58935737315019	48.0	51.0	51	45.45454545454545	35.149474999999995
SRR27848308_2	50.809624582944465	53.0	51.0	51	27.27272727272727	35.149474999999995
SRR27848309_1	51.36745149283485	45.0	51.0	51	27.27272727272727	33.471405
SRR27848309_2	45.02445840807637	48.0	51.0	51	9.090909090909092	33.471405
SRR27848310_1	52.51679911998881	46.0	51.0	51	36.36363636363637	34.129281999999996
SRR27848310_2	46.07533476747422	47.0	51.0	51	9.090909090909092	34.129281999999996
SRR27848311_1	53.625958997572134	46.0	51.0	51	27.27272727272727	30.196244999999998
SRR27848311_2	46.882827842808304	48.0	51.0	51	9.090909090909092	30.196244999999998
