Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR27848283_1 - polya	(1, 0.001923219996629304)	(2, 0.007383259429784325)	(3, 0.012215126387260114)	(4, 0.01700233653366866)	(5, 0.02144420067449052)	(6, 0.02533827459955419)	(7, 0.029934949018742493)	(8, 0.03761294340157063)	(9, 0.05247770724548721)	(10, 0.06602658372328901)	(11, 0.07141814937947426)	(12, 0.07728010011223448)	(13, 0.08476755876784237)	(14, 0.09150776011825838)	(15, 0.09989430923668678)	(16, 0.10611649157872277)	(17, 0.11364562992466008)	(18, 0.11991842331923895)	(19, 0.12590839024372527)	(20, 0.1329105782190691)	(21, 0.14000207981654744)	(22, 0.14579555677233788)	(23, 0.15106506047827267)	(24, 0.15662929913725124)	(25, 0.16176185528924647)	(26, 0.1666354019370517)	(27, 0.17137200103091738)	(28, 0.1760818060381427)	(29, 0.18114588841316814)	(30, 0.18589141886924726)	(31, 0.19060717811794822)	(32, 0.19478110139236662)	(33, 0.19898181875342535)	(34, 0.20223878884059635)	(35, 0.20506109930004618)	(36, 0.2074308874073479)	(37, 0.20919632000487295)	(38, 0.21006861638105312)	(39, 0.21006861638105312)	(40, 0.21006861638105312)
SRR27848283_2 - illumina_universal_adapter	(1, 0.00015183315762862926)	(2, 0.00021137557238495446)	(3, 0.0003185519189463398)	(4, 0.0008603878932288992)	(5, 0.001259322072096278)	(6, 0.00427514537950415)	(7, 0.004444841261559676)	(8, 0.005028356926171663)	(9, 0.005448130950203756)	(10, 0.005864927853498032)	(11, 0.00607332630514517)	(12, 0.006201342496871269)	(13, 0.006365084137451163)	(14, 0.006630047883116811)	(15, 0.009109989457717755)	(16, 0.012896887036220038)	(17, 0.020762440025530595)	(18, 0.02898822462411692)	(19, 0.03692225139039725)	(20, 0.04564223803146108)	(21, 0.07517229862986056)	(22, 0.16210124705335754)	(23, 0.2572440715924896)	(24, 0.2990696408380702)	(25, 0.3406242920965096)	(26, 0.4090921148248079)	(27, 0.5010464430537387)	(28, 0.6580449051624792)	(29, 0.8819660643365914)	(30, 1.166138193002629)	(31, 1.4949820183395996)	(32, 1.4962383632909582)	(33, 1.4989802914904868)	(34, 1.5008409919516221)	(35, 1.5026600127224277)	(36, 1.5059675938621415)	(37, 1.5081676860873878)	(38, 1.515875451677594)	(39, 1.5289956227691504)	(40, 1.5448130652491683)
SRR27848283_2 - polya	(1, 0.0028580359083036095)	(2, 0.006516917295079793)	(3, 0.009053424163699246)	(4, 0.0114619148405926)	(5, 0.014433081336933228)	(6, 0.016698670218411402)	(7, 0.01925303981145775)	(8, 0.024159334787378948)	(9, 0.03204275050111641)	(10, 0.0395480718811512)	(11, 0.042376336582076644)	(12, 0.046472854717311815)	(13, 0.05136128696880612)	(14, 0.055630478106834635)	(15, 0.06028669494077926)	(16, 0.06477321589266836)	(17, 0.07033150031017132)	(18, 0.07471679915697467)	(19, 0.07912591496968055)	(20, 0.08357671047271586)	(21, 0.087738725264183)	(22, 0.09222226909533428)	(23, 0.09631878723056946)	(24, 0.1010524092036973)	(25, 0.1052233553573779)	(26, 0.10923055987047858)	(27, 0.1128775327743035)	(28, 0.11663168202468979)	(29, 0.12032628886031978)	(30, 0.12405959826554136)	(31, 0.12779588479150078)	(32, 0.13108262608604992)	(33, 0.13368462961090133)	(34, 0.13623006784173425)	(35, 0.13820389889090642)	(36, 0.13986513226260788)	(37, 0.1409994152637159)	(38, 0.14163354198087075)	(39, 0.14163354198087075)	(40, 0.14163354198087075)
SRR27848284_1 - polya	(1, 0.0018793127660093037)	(2, 0.007986445209397163)	(3, 0.013155189362065126)	(4, 0.01875508489155034)	(5, 0.024050638272693964)	(6, 0.028894750800464233)	(7, 0.034086320614257815)	(8, 0.04220971979040869)	(9, 0.05837282405191651)	(10, 0.07316385246131767)	(11, 0.07893367235696026)	(12, 0.08554043316054223)	(13, 0.09394788500847859)	(14, 0.10166042228436832)	(15, 0.11148306512209306)	(16, 0.11873655299090091)	(17, 0.12691321204301156)	(18, 0.1343442328316853)	(19, 0.14101693443407462)	(20, 0.14902113293545838)	(21, 0.15662715045942857)	(22, 0.163226302709302)	(23, 0.16907981669573852)	(24, 0.1756485347307778)	(25, 0.18162124939198146)	(26, 0.18702078634047511)	(27, 0.1926358989773774)	(28, 0.1982307221377236)	(29, 0.2039624992648235)	(30, 0.2096207270394075)	(31, 0.21527895481399154)	(32, 0.22076725822241816)	(33, 0.22566716681071772)	(34, 0.22968448316882667)	(35, 0.23303731916972317)	(36, 0.23577639850479745)	(37, 0.23764049416338967)	(38, 0.2385636653466925)	(39, 0.2385636653466925)	(40, 0.2385636653466925)
SRR27848284_2 - illumina_universal_adapter	(1, 3.8042768542698455e-05)	(2, 5.83322450988043e-05)	(3, 9.130264450247629e-05)	(4, 0.00032463162489769346)	(5, 0.0005224540213197255)	(6, 0.0015927239096543086)	(7, 0.0016637370776006791)	(8, 0.002036556209319124)	(9, 0.002224233867463103)	(10, 0.0023814773107729234)	(11, 0.0024474181095802674)	(12, 0.0024930694318315056)	(13, 0.0025615464152083625)	(14, 0.0026832832745449977)	(15, 0.003636888672681972)	(16, 0.00483650397406173)	(17, 0.00714443193231877)	(18, 0.009612139518455144)	(19, 0.011947965506976828)	(20, 0.01468958102662063)	(21, 0.024233243561698915)	(22, 0.054505142583408835)	(23, 0.09043273319513326)	(24, 0.10776248235861716)	(25, 0.1254447611772634)	(26, 0.15713945974247023)	(27, 0.19829412675196142)	(28, 0.27004786059262975)	(29, 0.3873387883789081)	(30, 0.5214294027536421)	(31, 0.6815539517344295)	(32, 0.6821119123397223)	(33, 0.6834231197621606)	(34, 0.6842524521163915)	(35, 0.6850919292089004)	(36, 0.6866719721957071)	(37, 0.6877777486680149)	(38, 0.6912396406054004)	(39, 0.6976485790125604)	(40, 0.7046154780250132)
SRR27848284_2 - polya	(1, 0.0028455990869938443)	(2, 0.006596616065303912)	(3, 0.008899471654421925)	(4, 0.011161748290427726)	(5, 0.014463860599933953)	(6, 0.017055841229976474)	(7, 0.01988622320955324)	(8, 0.025346628587715223)	(9, 0.03367292252942716)	(10, 0.04212095333047573)	(11, 0.045357124841174615)	(12, 0.04940233922954822)	(13, 0.05420840898877578)	(14, 0.05867970238482761)	(15, 0.06328287737849413)	(16, 0.06864437155844509)	(17, 0.07485041520004397)	(18, 0.08004452119840706)	(19, 0.08483537385021755)	(20, 0.08981644034474154)	(21, 0.09456925022800933)	(22, 0.09926119168160881)	(23, 0.10390240944381803)	(24, 0.10886825883092492)	(25, 0.11345621671717436)	(26, 0.11758766138091141)	(27, 0.12171910604464846)	(28, 0.12574656714103546)	(29, 0.12967258085464195)	(30, 0.13386489394804732)	(31, 0.13776808200052817)	(32, 0.14102200680321367)	(33, 0.1440020236723917)	(34, 0.14686283986680262)	(35, 0.14901859675088888)	(36, 0.15082943253352132)	(37, 0.15229027484556093)	(38, 0.15285330781999287)	(39, 0.15285330781999287)	(40, 0.15285330781999287)
SRR27848285_1 - polya	(1, 0.0018007633670795227)	(2, 0.007675717604926726)	(3, 0.013005513206685443)	(4, 0.01792933961135699)	(5, 0.022812569096319818)	(6, 0.027646502321636346)	(7, 0.03277331332485148)	(8, 0.04106378428536735)	(9, 0.057137264710040124)	(10, 0.07285117241729283)	(11, 0.07880442071457829)	(12, 0.08515203908903413)	(13, 0.09361069728834324)	(14, 0.10136760873268741)	(15, 0.11047291786735682)	(16, 0.11740339201763066)	(17, 0.12564746649847944)	(18, 0.13297811028588205)	(19, 0.13969400071769555)	(20, 0.14739001678247662)	(21, 0.15511793042702884)	(22, 0.16127996288281626)	(23, 0.1670505250414125)	(24, 0.17348513681524413)	(25, 0.17947318247227992)	(26, 0.1852060474911466)	(27, 0.1904053529938416)	(28, 0.19589753627443518)	(29, 0.20145351471457104)	(30, 0.20711968479391626)	(31, 0.2125770707147595)	(32, 0.2178749687367471)	(33, 0.22270890196206364)	(34, 0.22687588579216553)	(35, 0.23018453474842596)	(36, 0.23302631912803615)	(37, 0.23533744377145385)	(38, 0.23651475444300663)	(39, 0.23651475444300663)	(40, 0.23651475444300663)
SRR27848285_2 - illumina_universal_adapter	(1, 0.00017978635871003287)	(2, 0.0002029845985435855)	(3, 0.00026677975808585524)	(4, 0.0005741564358804276)	(5, 0.0008612346538206414)	(6, 0.00243871496250222)	(7, 0.002551806381690789)	(8, 0.0030737667779457234)	(9, 0.003355045435927549)	(10, 0.0036276247539717924)	(11, 0.003769713972952302)	(12, 0.0038625069322865127)	(13, 0.003955299891620723)	(14, 0.004164084050122697)	(15, 0.005358793401550657)	(16, 0.0068521800908356075)	(17, 0.009540276131548519)	(18, 0.012547347969972778)	(19, 0.01632576128286266)	(20, 0.020721827731320887)	(21, 0.03786822674829547)	(22, 0.08949880927784605)	(23, 0.14858762591388378)	(24, 0.17599054671726783)	(25, 0.20408651493567925)	(26, 0.24814867171953328)	(27, 0.31286306151520754)	(28, 0.42104515319900104)	(29, 0.5814406831881631)	(30, 0.7963462772262154)	(31, 1.052776720566327)	(32, 1.0534436699615417)	(33, 1.0549457559907642)	(34, 1.0560534719428163)	(35, 1.057108991855243)	(36, 1.059173635200429)	(37, 1.0604002421316283)	(38, 1.0641815552244973)	(39, 1.0717006847105477)	(40, 1.0800462514906681)
SRR27848285_2 - polya	(1, 0.003027370298278618)	(2, 0.006965271510024177)	(3, 0.009145906054378124)	(4, 0.011677413976214555)	(5, 0.01485847261339046)	(6, 0.017555267994040953)	(7, 0.02034775611400485)	(8, 0.02563695479605485)	(9, 0.03372154137804794)	(10, 0.041843825099770554)	(11, 0.045013284617029685)	(12, 0.04922376514681948)	(13, 0.05430127989038832)	(14, 0.05915261179558001)	(15, 0.06412283467991867)	(16, 0.0695396236810532)	(17, 0.07582634667594597)	(18, 0.08089226229959802)	(19, 0.08553770982626693)	(20, 0.09068481928933642)	(21, 0.0952983692362342)	(22, 0.10013810202150912)	(23, 0.10478934910813642)	(24, 0.10993355879122671)	(25, 0.11475589289662647)	(26, 0.1191983558247518)	(27, 0.12352772733368855)	(28, 0.12754392260487235)	(29, 0.1315891156758481)	(30, 0.1357502999459916)	(31, 0.1396186064382365)	(32, 0.1428518611150379)	(33, 0.14576903977410713)	(34, 0.14874131425278106)	(35, 0.15088715143738468)	(36, 0.15278360754377762)	(37, 0.15403631249478947)	(38, 0.1546017695907323)	(39, 0.1546017695907323)	(40, 0.1546017695907323)
SRR27848286_1 - polya	(1, 0.00196367592993444)	(2, 0.0074102353274334894)	(3, 0.012182805769389177)	(4, 0.017221328610018734)	(5, 0.022296283286083064)	(6, 0.0264422261585606)	(7, 0.03125851480303802)	(8, 0.039357311820188784)	(9, 0.05413042108899055)	(10, 0.06896546447803144)	(11, 0.07399305776803056)	(12, 0.08077302234244242)	(13, 0.08875159430265842)	(14, 0.09568821576943982)	(15, 0.10391088102706882)	(16, 0.11067262968376329)	(17, 0.11842896744782715)	(18, 0.12551131625634765)	(19, 0.13189053064097697)	(20, 0.13932262506967133)	(21, 0.14608801690990927)	(22, 0.152325147136343)	(23, 0.1577607769832116)	(24, 0.16360808657049317)	(25, 0.1693060256324922)	(26, 0.17448663263131736)	(27, 0.17955794412383821)	(28, 0.1845126737429678)	(29, 0.18987908310251034)	(30, 0.19470994448116166)	(31, 0.1997521105053347)	(32, 0.2047833469788773)	(33, 0.20898029442096352)	(34, 0.21280563714161502)	(35, 0.21610636143200576)	(36, 0.21864201717826617)	(37, 0.2205291862537876)	(38, 0.22151648899407003)	(39, 0.22151648899407003)	(40, 0.22151648899407003)
