Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR27848283_1	(1, 0.0014617662822677836)	(2, 0.007526161225199506)	(3, 0.00011313058803701788)	(4, 1.48856036890813e-05)	(5, 5.95424147563252e-05)	(6, 0.29558045533334953)	(7, 5.95424147563252e-06)	(8, 0.5927655787443821)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 4.167969032942764e-05)	(14, 0.0)	(15, 0.0)	(16, 5.95442654600061e-06)	(17, 0.0)	(18, 0.0)	(19, 9.827235999940917e-05)	(20, 0.0002591034662683025)	(21, 0.0)	(22, 6.852625878566225e-05)	(23, 0.28216172500951275)	(24, 0.0)	(25, 0.0)	(26, 1.1950458180566642e-05)	(27, 1.4948749408552729e-05)	(28, 0.0)	(29, 4.795885753488654e-05)	(30, 3.9056870318301775e-05)	(31, 4.519879968862246e-05)	(32, 4.553685815532798e-05)	(33, 0.00014013409797402346)	(34, 6.11078411626329e-06)	(35, 0.0)	(36, 0.00042126202291806853)	(37, 0.00021601570026797055)	(38, 5.5777465513490295e-05)	(39, 1.8673350564271306e-05)	(40, 0.0)	(41, 1.2572389461194534e-05)	(42, 0.0)	(43, 0.00024180088206416506)	(44, 0.0)	(45, 9.31506189296512e-05)	(46, 0.00015491682773713505)	(47, 0.30967741349430483)	(48, 0.00010435957221054608)	(49, 0.00015083034399614243)	(50, 0.0001120887188803392)	(51, 0.0)
SRR27848283_2	(1, 0.0)	(2, 0.000515041887642213)	(3, 0.0)	(4, 0.0013873382638223773)	(5, 2.083984516471382e-05)	(6, 3.274832811597886e-05)	(7, 0.0)	(8, 0.2947677013719257)	(9, 0.0006222182342035983)	(10, 0.0)	(11, 5.656529401850894e-05)	(12, 2.97712073781626e-06)	(13, 4.46568110672439e-05)	(14, 8.931362213448779e-06)	(15, 0.0001339704332017317)	(16, 0.0002709218183343572)	(17, 8.93163609620694e-05)	(18, 0.00032749807192953293)	(19, 0.00018459226248781544)	(20, 0.0003275089928014714)	(21, 0.0008783328825054103)	(22, 5.657180517801732e-05)	(23, 9.528122984485625e-05)	(24, 0.0001429270409862347)	(25, 0.00013102147918485582)	(26, 0.00016378295506617606)	(27, 0.0001846340459403455)	(28, 8.934171239473313e-06)	(29, 0.00019358084719436729)	(30, 0.00017274295984577985)	(31, 0.0006850603585832285)	(32, 0.0002003660478356295)	(33, 1.800444277629948e-05)	(34, 0.0005446921406040004)	(35, 0.0009116619219493627)	(36, 0.0010175133735628645)	(37, 0.0006868084279781685)	(38, 0.0005797505992256424)	(39, 0.0)	(40, 0.0001262241394061265)	(41, 0.0)	(42, 2.178129618315456e-05)	(43, 3.444340028754603e-05)	(44, 9.752721323853268e-05)	(45, 0.00024649619095440514)	(46, 0.0001587468599077376)	(47, 0.00022334833744921777)	(48, 0.0003110932950511118)	(49, 0.00019345472380807627)	(50, 0.000388975362073664)	(51, 0.00011082158428972361)
SRR27848284_1	(1, 0.001463378496609134)	(2, 0.007190083254570007)	(3, 6.5940798807344e-05)	(4, 1.0144738278052922e-05)	(5, 4.057895311221169e-05)	(6, 0.28703268865465986)	(7, 7.608553708539691e-06)	(8, 0.5738320483289244)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 4.5651322251238146e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00011921477640266773)	(20, 0.00013443805223917738)	(21, 0.0)	(22, 0.00010401459553100022)	(23, 0.2812347877027564)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 3.556927106647879e-05)	(28, 0.0)	(29, 2.5437339083392956e-06)	(30, 5.3484732821219565e-05)	(31, 3.3157137156665814e-05)	(32, 2.047954335533408e-05)	(33, 0.00014105274847050735)	(34, 0.0)	(35, 0.0)	(36, 0.0003840601430966852)	(37, 3.0994207389266996e-05)	(38, 4.142543899961708e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.00011329544136557788)	(44, 0.0)	(45, 2.6508340478214705e-05)	(46, 0.0)	(47, 0.29675333650422986)	(48, 6.959589917406531e-05)	(49, 0.00011281684813256689)	(50, 1.887022201597968e-05)	(51, 0.0)
SRR27848284_2	(1, 5.072369139026461e-06)	(2, 0.0004894836219160535)	(3, 0.0)	(4, 0.0011514277945590065)	(5, 0.0)	(6, 3.0434214834158764e-05)	(7, 0.0)	(8, 0.2895333666401999)	(9, 0.00040325334655260357)	(10, 0.0)	(11, 0.0)	(12, 1.0144738278052922e-05)	(13, 6.340461423783076e-05)	(14, 0.0)	(15, 1.0144738278052922e-05)	(16, 0.0001826079751446198)	(17, 6.594290941891742e-05)	(18, 0.00022826774985293852)	(19, 7.355407214746466e-05)	(20, 0.0002130568815457764)	(21, 0.0008040491203499709)	(22, 2.0291898966635045e-05)	(23, 5.834074852702293e-05)	(24, 9.892951918604851e-05)	(25, 0.00018518249811291424)	(26, 0.00010147340912145489)	(27, 0.0001522153420887598)	(28, 2.7907026068232123e-05)	(29, 0.0002080421113767651)	(30, 0.00010402699668021943)	(31, 0.0003450893080979672)	(32, 0.000200858387387334)	(33, 2.5469958947520167e-06)	(34, 0.0003953888376272221)	(35, 0.0009837114502965227)	(36, 0.0008216359211443498)	(37, 0.0005924611549381329)	(38, 0.0004601777000611625)	(39, 0.0)	(40, 9.305584940668494e-05)	(41, 0.0)	(42, 0.0)	(43, 1.046090156966351e-05)	(44, 2.6232423522058045e-06)	(45, 0.00019729617430880243)	(46, 0.00012136674468349676)	(47, 0.0002011582480175325)	(48, 0.00012216167311352767)	(49, 4.263828548682569e-05)	(50, 0.0002540653464094081)	(51, 0.00010736559377749817)
SRR27848285_1	(1, 0.0015948789885567433)	(2, 0.00819767800118166)	(3, 4.349669968791118e-05)	(4, 1.7398679875164473e-05)	(5, 2.029845985435855e-05)	(6, 0.2922746236629296)	(7, 3.1897579771134865e-05)	(8, 0.5865268972716695)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 3.7697139729523025e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00013340717130249337)	(20, 0.00017401743376258406)	(21, 0.0)	(22, 0.00012474234541080017)	(23, 0.28327416344287926)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 8.722425722875393e-05)	(28, 0.0)	(29, 0.0)	(30, 2.6258378829864788e-05)	(31, 2.046902729135409e-05)	(32, 2.6471191622750224e-05)	(33, 0.0002035026042434717)	(34, 0.0)	(35, 0.0)	(36, 0.0004634324193435979)	(37, 3.873273175640663e-05)	(38, 4.18541283178216e-05)	(39, 2.7004491657097326e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.00015600444594317475)	(44, 0.0)	(45, 2.1586506459839154e-05)	(46, 0.0)	(47, 0.304030578140119)	(48, 6.559429572013776e-05)	(49, 5.3342065534053544e-05)	(50, 3.1522392877452285e-06)	(51, 6.334402950058143e-06)
SRR27848285_2	(1, 0.0001768865787308388)	(2, 0.0005567577560052631)	(3, 5.799559958388157e-06)	(4, 0.0010816179322393914)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.2939477967109246)	(9, 0.0003798711772744243)	(10, 0.0)	(11, 2.8997799791940786e-06)	(12, 0.0)	(13, 7.829405943824012e-05)	(14, 0.0)	(15, 5.799559958388157e-06)	(16, 0.00011599298184463349)	(17, 0.0002145905073743158)	(18, 0.0002928918171884114)	(19, 6.959909903966293e-05)	(20, 0.0004901023113225002)	(21, 0.0008642181105547247)	(22, 6.090276693450737e-05)	(23, 0.00011020819662441575)	(24, 0.0002842321765035411)	(25, 0.0002871429565863053)	(26, 4.350814024251496e-05)	(27, 0.00012762823519447207)	(28, 1.4503683094292333e-05)	(29, 0.0002581753621627414)	(30, 6.0921335992133836e-05)	(31, 0.000725304919638826)	(32, 0.00047149602779148934)	(33, 5.836590126304686e-05)	(34, 0.00045628135782663367)	(35, 0.0009322889390924202)	(36, 0.0007700390615539835)	(37, 0.0005099299574358811)	(38, 0.0002927812736387608)	(39, 0.0)	(40, 7.449462770073195e-05)	(41, 2.9927845759544486e-06)	(42, 6.015085171951887e-06)	(43, 1.2098913091117732e-05)	(44, 0.0)	(45, 0.0001676691196862112)	(46, 3.6726432304080175e-05)	(47, 0.00017825796238363597)	(48, 8.951774660001566e-05)	(49, 0.00028526539138566735)	(50, 0.00021180892044481866)	(51, 5.007112603453205e-05)
SRR27848286_1	(1, 0.0015082779869997366)	(2, 0.008047792447542073)	(3, 4.736138606520912e-05)	(4, 3.643183543477625e-06)	(5, 3.2788651891298624e-05)	(6, 0.289006464136993)	(7, 7.28636708695525e-06)	(8, 0.576082040995943)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 5.4647753152164373e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0001275517223145069)	(20, 0.0001968070031804012)	(21, 1.8224155213817815e-05)	(22, 0.00014946964887537943)	(23, 0.2808841007729027)	(24, 0.0)	(25, 0.0)	(26, 3.65281298379225e-06)	(27, 9.50242245986725e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 2.9603081147892033e-05)	(33, 0.00017071116042766859)	(34, 0.0)	(35, 0.0)	(36, 0.0004824833485271953)	(37, 1.1254340517779194e-05)	(38, 8.282115663434545e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 5.3932329411271614e-05)	(44, 0.0)	(45, 4.660153273994566e-05)	(46, 0.0)	(47, 0.2999563227815758)	(48, 6.293694217955587e-05)	(49, 7.90301420961955e-06)	(50, 3.9695634516259274e-06)	(51, 0.0)
SRR27848286_2	(1, 0.000145727341739105)	(2, 0.0005355479808912109)	(3, 2.9145468347821e-05)	(4, 0.00087436405043463)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.29319976839553574)	(9, 0.000204018278434747)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 7.28636708695525e-05)	(14, 0.0)	(15, 1.0929550630432875e-05)	(16, 9.472423534498585e-05)	(17, 0.00016394873068160227)	(18, 0.0002659652277061297)	(19, 1.4573648991769458e-05)	(20, 0.0006376088749034342)	(21, 0.0009436759537740151)	(22, 5.465436778213923e-05)	(23, 6.19434111230836e-05)	(24, 0.00048099126177344537)	(25, 0.00034618047962613094)	(26, 2.9153179221610846e-05)	(27, 2.9154198084263065e-05)	(28, 1.8221903055466927e-05)	(29, 0.0001676475811679431)	(30, 4.00918204740763e-05)	(31, 0.000860209629441739)	(32, 0.00017187742959717638)	(33, 4.767503872129972e-05)	(34, 0.0005514147980321991)	(35, 0.0006228799736459114)	(36, 0.0002771618727702096)	(37, 0.0002446238715241357)	(38, 0.00013388956513450266)	(39, 0.0)	(40, 4.122643084948335e-05)	(41, 0.0)	(42, 7.565756448161821e-06)	(43, 0.0)	(44, 3.819311285747846e-06)	(45, 9.967777243181178e-05)	(46, 6.54290971046316e-05)	(47, 2.3189575358293433e-05)	(48, 3.881848036052741e-06)	(49, 0.00039773148001381767)	(50, 0.00016451016042169124)	(51, 2.3610841390041067e-05)
SRR27848287_1	(1, 0.0014181076901550033)	(2, 0.007710733885599839)	(3, 4.35224866543735e-05)	(4, 2.538811721505121e-05)	(5, 5.440310831796687e-05)	(6, 0.28797378669643797)	(7, 1.4507495551457833e-05)	(8, 0.5742248082961403)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 1.4507495551457833e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00012695220296711965)	(20, 0.00021401340166430605)	(21, 0.0)	(22, 7.619283695901181e-05)	(23, 0.28433391052261636)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 7.272695272868072e-06)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 3.656830584707098e-05)	(32, 4.045459936614998e-05)	(33, 0.00018806155734144383)	(34, 0.0)	(35, 7.409136754808474e-06)	(36, 0.0004308211852901008)	(37, 1.1174612294032806e-05)	(38, 4.111370908223512e-05)	(39, 0.0)	(40, 0.0)	(41, 1.8924621981622148e-05)	(42, 0.0)	(43, 3.062631307924647e-05)	(44, 0.0)	(45, 7.337558711572578e-05)	(46, 5.042736610923351e-05)	(47, 0.30432785676500745)	(48, 0.00010184656439025755)	(49, 5.512368120037958e-05)	(50, 0.00014249057454534918)	(51, 0.0)
SRR27848287_2	(1, 0.00013782120773884942)	(2, 0.0005295235876282109)	(3, 0.0)	(4, 0.0009611215802840814)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.29574255056424364)	(9, 0.00022849305493546088)	(10, 0.0)	(11, 1.4507495551457833e-05)	(12, 3.6268738878644583e-06)	(13, 6.165685609369579e-05)	(14, 0.0)	(15, 0.0)	(16, 0.00017409244700644047)	(17, 0.00014870668346592773)	(18, 0.00028653670304848574)	(19, 1.0881294937934545e-05)	(20, 0.00047878515665904735)	(21, 0.0007073084916918457)	(22, 0.00010156430429666701)	(23, 9.79395868726856e-05)	(24, 0.00027931897969927795)	(25, 0.00015961696571630725)	(26, 7.981153738896628e-05)	(27, 5.4418994696143385e-05)	(28, 7.256092087935419e-06)	(29, 0.00023220413791401952)	(30, 0.00014150778577651547)	(31, 0.0006241303224754373)	(32, 0.00034578419724724476)	(33, 3.284388404182092e-05)	(34, 0.00048276905798517214)	(35, 0.0008541517549061028)	(36, 0.0005843388371436635)	(37, 0.0003906878014515747)	(38, 0.0002847534883504205)	(39, 0.0)	(40, 7.454172678146341e-05)	(41, 0.0)	(42, 0.0)	(43, 2.6503829159649144e-05)	(44, 3.8027147047897435e-06)	(45, 0.00014892166395902897)	(46, 6.519711350134808e-05)	(47, 0.00017338712598277749)	(48, 3.871837531502238e-06)	(49, 0.00022182147340827526)	(50, 0.00023470734009261785)	(51, 0.00010225279423457845)
