Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR27848283_1	(1, 33.23877672371495)	(2, 33.405770690073666)	(3, 33.21466621370767)	(4, 33.35834771704408)	(5, 33.42838620913124)	(6, 33.308697917245034)	(7, 33.424757218036675)	(8, 33.267822525854136)	(9, 33.546567125245474)	(10, 33.42372689609173)	(11, 33.516293975310916)	(12, 33.465169488525596)	(13, 33.48598456404577)	(14, 33.49648885822984)	(15, 33.482514432113774)	(16, 33.49732284516672)	(17, 33.51022428761397)	(18, 33.50366099716525)	(19, 33.51200477282051)	(20, 33.5026200423381)	(21, 33.514912313569646)	(22, 33.49339460494552)	(23, 33.41517786745138)	(24, 33.50541340078102)	(25, 33.49766032941554)	(26, 33.53625888516566)	(27, 33.54308657113778)	(28, 33.5383200395453)	(29, 33.54185736682073)	(30, 33.53506022584425)	(31, 33.53431863502518)	(32, 33.51778009395104)	(33, 33.54244090628864)	(34, 33.526517197701956)	(35, 33.52456690876456)	(36, 33.527110378983)	(37, 33.52621103647666)	(38, 33.53142658893808)	(39, 33.528250725335184)	(40, 33.520712274535406)	(41, 33.520564248839015)	(42, 33.498573909964925)	(43, 33.51523860974674)	(44, 33.49454214587337)	(45, 33.417313263122395)	(46, 33.40977263115388)	(47, 33.410326384843295)	(48, 33.47953474545967)	(49, 33.418875342065185)	(50, 33.49515491567549)	(51, 33.34264608762074)
SRR27848283_2	(1, 33.280910663126555)	(2, 33.343278603632726)	(3, 33.20467606827503)	(4, 33.250074539660474)	(5, 33.378662576737895)	(6, 33.35146782918865)	(7, 33.404127200341556)	(8, 33.34219457442967)	(9, 33.50056828769204)	(10, 33.38690479504295)	(11, 33.45928878193219)	(12, 33.4199991836735)	(13, 33.46446206509587)	(14, 33.443882360741235)	(15, 33.43416432414402)	(16, 33.449445661210895)	(17, 33.42889600422716)	(18, 33.455082508077886)	(19, 33.46241374033347)	(20, 33.434274006647364)	(21, 33.45140810903714)	(22, 33.45456532234689)	(23, 33.45640718481215)	(24, 33.44311206004079)	(25, 33.41576867324077)	(26, 33.459007568201905)	(27, 33.48603783943741)	(28, 33.46330944335944)	(29, 33.477236411235054)	(30, 33.46172185774451)	(31, 33.46705092000032)	(32, 33.45653861551666)	(33, 33.43815545924112)	(34, 33.44023348935804)	(35, 33.43077417454975)	(36, 33.433575500506805)	(37, 33.43440541900359)	(38, 33.424190484321514)	(39, 33.4207479669814)	(40, 33.40905884787962)	(41, 33.41259981100655)	(42, 33.3838351977345)	(43, 33.39395490770233)	(44, 33.38180601522683)	(45, 33.35141934876907)	(46, 33.35718456221077)	(47, 33.2940285779941)	(48, 33.2552599061005)	(49, 33.23059851441604)	(50, 33.17754517843483)	(51, 33.13956016347357)
SRR27848284_1	(1, 33.25516433753198)	(2, 33.40753069791462)	(3, 33.20576301277626)	(4, 33.355931160545126)	(5, 33.42675264366173)	(6, 33.31649272963382)	(7, 33.42928659638882)	(8, 33.272919303400386)	(9, 33.545008133163485)	(10, 33.423809147850356)	(11, 33.51632895805143)	(12, 33.46650221369602)	(13, 33.483528077224385)	(14, 33.49329122117211)	(15, 33.4814288772562)	(16, 33.4943723602923)	(17, 33.50599601934256)	(18, 33.50017977967656)	(19, 33.508335027916424)	(20, 33.49915164515903)	(21, 33.51107913002598)	(22, 33.49127075265596)	(23, 33.41442729892943)	(24, 33.49828010194787)	(25, 33.49173181246319)	(26, 33.53087123866378)	(27, 33.535033153228326)	(28, 33.534666592039805)	(29, 33.53934713746501)	(30, 33.53064808902488)	(31, 33.53097627747117)	(32, 33.511087202381994)	(33, 33.538726788648226)	(34, 33.51978574955035)	(35, 33.51952001850904)	(36, 33.5192819714668)	(37, 33.52177027961321)	(38, 33.52389375306969)	(39, 33.52388560097988)	(40, 33.51835797243725)	(41, 33.51578339267498)	(42, 33.49513779601063)	(43, 33.51435155512221)	(44, 33.49596465043029)	(45, 33.41918619606798)	(46, 33.41502990637636)	(47, 33.415624954064555)	(48, 33.48160921672412)	(49, 33.417017970273406)	(50, 33.4927585657801)	(51, 33.34335732823246)
SRR27848284_2	(1, 33.29885655865065)	(2, 33.37579471026463)	(3, 33.23470255259622)	(4, 33.268274839321926)	(5, 33.40238320698865)	(6, 33.372689405877715)	(7, 33.43155237295954)	(8, 33.3660486602009)	(9, 33.52175532783267)	(10, 33.40826816966375)	(11, 33.480403548558435)	(12, 33.442018141480396)	(13, 33.48593359756488)	(14, 33.46569489542385)	(15, 33.45644051010078)	(16, 33.47138607848029)	(17, 33.45325952630925)	(18, 33.476790737036744)	(19, 33.482046275301684)	(20, 33.45642067330489)	(21, 33.47327305213901)	(22, 33.47598981346672)	(23, 33.47834553754151)	(24, 33.465055671318595)	(25, 33.438956644261786)	(26, 33.48044026470962)	(27, 33.50583517513897)	(28, 33.48403825931498)	(29, 33.49523255010637)	(30, 33.48110085731946)	(31, 33.48876993119122)	(32, 33.47675912093488)	(33, 33.46030787067578)	(34, 33.46132464545865)	(35, 33.453010748542326)	(36, 33.455143785134375)	(37, 33.4550531524858)	(38, 33.445303342841356)	(39, 33.440923863703055)	(40, 33.43377319885557)	(41, 33.4495347555101)	(42, 33.4297141626981)	(43, 33.437775968390504)	(44, 33.42316380183681)	(45, 33.39418447165992)	(46, 33.41303037168486)	(47, 33.36879993224143)	(48, 33.33806777094092)	(49, 33.338536287885816)	(50, 33.31051644665276)	(51, 33.24243755006424)
SRR27848285_1	(1, 33.24822078924762)	(2, 33.40717524457832)	(3, 33.22564269636042)	(4, 33.369009326417356)	(5, 33.43515678747875)	(6, 33.32312286005299)	(7, 33.43336739124919)	(8, 33.26982299018062)	(9, 33.54720857754918)	(10, 33.423002591678355)	(11, 33.51633056041873)	(12, 33.46402896880199)	(13, 33.48320434387041)	(14, 33.49478043953415)	(15, 33.48298616442477)	(16, 33.49524982410327)	(17, 33.506821850138614)	(18, 33.49964864526657)	(19, 33.5073105534788)	(20, 33.49929343121311)	(21, 33.51116699692608)	(22, 33.491221866648516)	(23, 33.41256128113124)	(24, 33.49869102568932)	(25, 33.49149391156829)	(26, 33.533489069503894)	(27, 33.53771091334206)	(28, 33.53474769561837)	(29, 33.53825847690312)	(30, 33.52871344972253)	(31, 33.52979807889407)	(32, 33.509532173159826)	(33, 33.53604178586807)	(34, 33.51900726795954)	(35, 33.5188173431409)	(36, 33.520446192733345)	(37, 33.52121355965008)	(38, 33.52423676904306)	(39, 33.52314964548053)	(40, 33.517202082744184)	(41, 33.51256255466621)	(42, 33.492542262620276)	(43, 33.511893717780495)	(44, 33.494481972399264)	(45, 33.41446336022035)	(46, 33.411042218414664)	(47, 33.402712967177045)	(48, 33.47817157712332)	(49, 33.41478313218459)	(50, 33.48884706217603)	(51, 33.32874116568534)
SRR27848285_2	(1, 33.31655271256293)	(2, 33.360915982499826)	(3, 33.22533398578383)	(4, 33.26757676261314)	(5, 33.400020037479656)	(6, 33.36818033731691)	(7, 33.42141154039937)	(8, 33.358010112982676)	(9, 33.516637415136124)	(10, 33.412230778989645)	(11, 33.47368987578068)	(12, 33.43816861495634)	(13, 33.482214532972314)	(14, 33.46308654030875)	(15, 33.4544251874889)	(16, 33.47062786566099)	(17, 33.45289059793151)	(18, 33.47623246701734)	(19, 33.4813424100225)	(20, 33.45595615828924)	(21, 33.47210129935483)	(22, 33.473671791856844)	(23, 33.474348549199)	(24, 33.46072194102734)	(25, 33.437589043320884)	(26, 33.47681942848461)	(27, 33.50508845071795)	(28, 33.48047952193076)	(29, 33.49189725328392)	(30, 33.47775062878071)	(31, 33.48351036672519)	(32, 33.474779153588955)	(33, 33.45813027228306)	(34, 33.45773130883635)	(35, 33.44652732191471)	(36, 33.448623170157944)	(37, 33.44920431472665)	(38, 33.44153208241006)	(39, 33.4356071807006)	(40, 33.428788365440965)	(41, 33.43892914815954)	(42, 33.415650295218875)	(43, 33.423455394528766)	(44, 33.410459391293216)	(45, 33.382934045583625)	(46, 33.39518899039496)	(47, 33.342171506534264)	(48, 33.3073523610815)	(49, 33.29412374998721)	(50, 33.251924159448755)	(51, 33.19854340590809)
SRR27848286_1	(1, 33.24570777420029)	(2, 33.407613109646235)	(3, 33.20773866103751)	(4, 33.359538388243216)	(5, 33.43327671461788)	(6, 33.31300721084389)	(7, 33.42597970943498)	(8, 33.270868838433955)	(9, 33.54564699496924)	(10, 33.419448355705576)	(11, 33.51615578850314)	(12, 33.46508760890978)	(13, 33.4837401986067)	(14, 33.49473867826977)	(15, 33.483504921813456)	(16, 33.49499172087712)	(17, 33.50784064279907)	(18, 33.50165158111922)	(19, 33.51005415518139)	(20, 33.50087404176857)	(21, 33.51212194263371)	(22, 33.49333544000474)	(23, 33.41503887932639)	(24, 33.50160572204088)	(25, 33.495738761886415)	(26, 33.53533566903936)	(27, 33.539886418275294)	(28, 33.53936290543067)	(29, 33.54031780813168)	(30, 33.53249359992254)	(31, 33.53322812948202)	(32, 33.512912456954346)	(33, 33.540190825388464)	(34, 33.52335440085757)	(35, 33.52255392840114)	(36, 33.525485481103594)	(37, 33.525091664727796)	(38, 33.530123579330116)	(39, 33.52677641653182)	(40, 33.517518660851046)	(41, 33.51683494196123)	(42, 33.494331437741835)	(43, 33.51369958213231)	(44, 33.49773948927797)	(45, 33.41926769885437)	(46, 33.413434801035734)	(47, 33.399466717336885)	(48, 33.476223032946194)	(49, 33.41179422131601)	(50, 33.48870688969738)	(51, 33.32745084220958)
SRR27848286_2	(1, 33.30297104168199)	(2, 33.36736962986093)	(3, 33.21950505092788)	(4, 33.26437952704264)	(5, 33.394298221022545)	(6, 33.358325280986904)	(7, 33.418574137382485)	(8, 33.350911985385295)	(9, 33.51111952443631)	(10, 33.404826292826485)	(11, 33.470374305413394)	(12, 33.433499531723406)	(13, 33.476246242921434)	(14, 33.45909253179798)	(15, 33.44990077971779)	(16, 33.46342618943674)	(17, 33.44528260298121)	(18, 33.47061996895348)	(19, 33.477159120710546)	(20, 33.4500719641811)	(21, 33.46409254699306)	(22, 33.46772140365971)	(23, 33.46992472490931)	(24, 33.455498141879744)	(25, 33.43190529755615)	(26, 33.473558959262114)	(27, 33.50066963548725)	(28, 33.47952756436386)	(29, 33.49014427204158)	(30, 33.47614904797599)	(31, 33.481880066876194)	(32, 33.471689154329404)	(33, 33.45571513328217)	(34, 33.45246929428317)	(35, 33.443182602645365)	(36, 33.44466361584123)	(37, 33.4460101772426)	(38, 33.437298605454636)	(39, 33.4337427412762)	(40, 33.427564786211725)	(41, 33.43721928656462)	(42, 33.41252612361129)	(43, 33.41967108298367)	(44, 33.404298886926654)	(45, 33.37723022306735)	(46, 33.386957918006104)	(47, 33.33043718726684)	(48, 33.30029852187767)	(49, 33.28489720376443)	(50, 33.24410730480732)	(51, 33.18447130702338)
SRR27848287_1	(1, 33.24063263706301)	(2, 33.41771120030158)	(3, 33.20290574980649)	(4, 33.358080388499125)	(5, 33.43559139841884)	(6, 33.32157191325649)	(7, 33.44219622591856)	(8, 33.28314728800142)	(9, 33.55406990741389)	(10, 33.43464333358455)	(11, 33.520849773650426)	(12, 33.46715470365285)	(13, 33.48910788114618)	(14, 33.49497376935998)	(15, 33.48302815244796)	(16, 33.49577633160003)	(17, 33.50693316401598)	(18, 33.500958460381476)	(19, 33.50985691362292)	(20, 33.50070666137026)	(21, 33.51166544273471)	(22, 33.493283601422064)	(23, 33.41183601299551)	(24, 33.49809302376606)	(25, 33.48998156003439)	(26, 33.5279937917373)	(27, 33.532345839496486)	(28, 33.53154855408487)	(29, 33.53609994572839)	(30, 33.528246974048024)	(31, 33.52746391302448)	(32, 33.507866341681385)	(33, 33.534773466947996)	(34, 33.51570605463708)	(35, 33.51458736776265)	(36, 33.516157131479645)	(37, 33.516554536261225)	(38, 33.5198632662689)	(39, 33.51924484173337)	(40, 33.51470723526702)	(41, 33.507181572323454)	(42, 33.48632204065031)	(43, 33.5077935735965)	(44, 33.4847749064634)	(45, 33.41819616468896)	(46, 33.41383532198824)	(47, 33.39581124906055)	(48, 33.46467064113744)	(49, 33.38515943717619)	(50, 33.47770713191845)	(51, 33.23191022174906)
SRR27848287_2	(1, 33.369772051701524)	(2, 33.4158760746518)	(3, 33.273737436236836)	(4, 33.304623676653456)	(5, 33.427625985448834)	(6, 33.39867830912528)	(7, 33.44623562044242)	(8, 33.37904792674469)	(9, 33.53778299499557)	(10, 33.43595981626837)	(11, 33.49374404149956)	(12, 33.454507866943345)	(13, 33.5002114830164)	(14, 33.47841868588639)	(15, 33.46744376550171)	(16, 33.482855194472506)	(17, 33.46504939564516)	(18, 33.49147489835111)	(19, 33.498187466431204)	(20, 33.47080826950468)	(21, 33.488057077981665)	(22, 33.48812809406132)	(23, 33.487905023267)	(24, 33.47346333660886)	(25, 33.447288093241845)	(26, 33.483575166524055)	(27, 33.51371498341763)	(28, 33.49208429286081)	(29, 33.50450162189148)	(30, 33.4915176786221)	(31, 33.498269253957794)	(32, 33.48590858419461)	(33, 33.46777011412374)	(34, 33.46828130484869)	(35, 33.45790030802618)	(36, 33.46013419947784)	(37, 33.46110124276316)	(38, 33.4534293620712)	(39, 33.44913631913821)	(40, 33.44235818716011)	(41, 33.451898706735406)	(42, 33.42853225444292)	(43, 33.436558882156326)	(44, 33.42265352443395)	(45, 33.39386713858287)	(46, 33.405745568494666)	(47, 33.35385707753148)	(48, 33.32152149276373)	(49, 33.30887550522759)	(50, 33.269345097282475)	(51, 33.21611647191049)
