.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR29492859_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492859_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492860_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492860_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492861_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492861_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492862_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492862_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492863_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492863_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492864_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492864_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492865_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492865_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492866_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492866_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492867_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492867_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492868_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492868_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492869_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492869_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492870_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492870_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492871_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492871_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492872_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492872_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492873_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492873_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492874_1	1	1	0.5	1	0.25	1	1	1	1	1	0.5
SRR29492874_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492875_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492875_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492876_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492876_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492877_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492877_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492878_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492878_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492879_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492879_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492880_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492880_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492881_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492881_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492882_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492882_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492883_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492883_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492884_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492884_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492885_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492885_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492886_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492886_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492887_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492887_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492888_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492888_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492889_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492889_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492890_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492890_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492891_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492891_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492892_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492892_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492893_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492893_2	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492894_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492894_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492895_1	1	1	0.5	1	0.25	1	1	1	1	1	1
SRR29492895_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.5
SRR29492896_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492896_2	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492897_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492897_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492898_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492898_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492899_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492899_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492900_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492900_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492901_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492901_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492902_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492902_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492903_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492903_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492904_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492904_2	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492905_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492905_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492906_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492906_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492907_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492907_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492908_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492908_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492909_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492909_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492910_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492910_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492911_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492911_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492912_1	1	1	1	1	0.25	0.25	1	1	0.5	0.5	0.5
SRR29492912_2	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.5
SRR29492913_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492913_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492914_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492914_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492915_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492915_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492916_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492916_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492917_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492917_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492918_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492918_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492919_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492919_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492920_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492920_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492921_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492921_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492922_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492922_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492923_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492923_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492924_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492924_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492925_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492925_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492926_1	1	1	0.5	1	0.25	1	1	1	1	1	0.5
SRR29492926_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492927_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492927_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492928_1	1	1	0.5	1	0.25	1	1	1	1	1	0.5
SRR29492928_2	1	1	0.5	1	0.25	1	1	1	1	1	0.5
SRR29492929_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492929_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492930_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492930_2	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492931_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492931_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492932_1	1	1	1	1	0.25	1	1	1	1	1	1
SRR29492932_2	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492933_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492933_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492934_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492934_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492935_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492935_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492936_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492936_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492937_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492937_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492938_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492938_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492939_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492939_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492940_1	1	1	1	1	0.25	0.25	1	1	0.5	0.5	0.5
SRR29492940_2	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.5
SRR29492941_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492941_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492942_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492942_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492943_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492943_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492944_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492944_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492945_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492945_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492946_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492946_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492947_1	1	1	1	1	0.5	1	1	1	0.25	0.5	0.5
SRR29492947_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	0.5
SRR29492948_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492948_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492949_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492949_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492950_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492950_2	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	0.5
SRR29492951_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492951_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492952_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492952_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492953_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492953_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492954_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492954_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492955_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492955_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492956_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492956_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492957_1	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492957_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492958_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492958_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492959_1	1	1	1	1	0.25	1	1	1	1	1	0.25
SRR29492959_2	1	1	0.5	1	0.25	1	1	1	1	1	0.25
SRR29492960_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492960_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492961_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492961_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492962_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492962_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492963_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492963_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492964_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492964_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492965_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492965_2	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
SRR29492966_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492966_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492967_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492967_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492968_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492968_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492969_1	1	1	1	1	0.25	0.5	1	1	1	1	0.5
SRR29492969_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492970_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492970_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492971_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492971_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492972_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492972_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492973_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492973_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492974_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492974_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492975_1	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR29492975_2	1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR29492976_1	1	1	1	1	0.25	1	1	1	0.5	0.5	0.5
SRR29492976_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492977_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492977_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492978_1	1	1	1	1	0.25	0.25	1	1	0.5	0.5	0.5
SRR29492978_2	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	0.5
SRR29492979_1	1	1	1	1	0.25	1	1	1	0.5	0.5	0.5
SRR29492979_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492980_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492980_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492981_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492981_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492982_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492982_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492983_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492983_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492984_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492984_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492985_1	1	1	1	1	0.25	1	1	1	0.5	0.5	0.5
SRR29492985_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492986_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492986_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492987_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492987_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492988_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492988_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492989_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492989_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492990_1	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR29492990_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492991_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492991_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492992_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492992_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	0.5
SRR29492993_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR29492993_2	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
