Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR29492859_1	0	0
SRR29492859_2	0	0
SRR29492860_1	0	0
SRR29492860_2	0	0
SRR29492861_1	0	0
SRR29492861_2	0	0
SRR29492862_1	0	0
SRR29492862_2	0	0
SRR29492863_1	0	0
SRR29492863_2	0	0
SRR29492864_1	0	0
SRR29492864_2	0	0
SRR29492865_1	0	0
SRR29492865_2	0	0
SRR29492866_1	0	0
SRR29492866_2	0	0
SRR29492867_1	0	0
SRR29492867_2	0	0
SRR29492868_1	0	0
SRR29492868_2	0	0
SRR29492869_1	0	0
SRR29492869_2	0	0
SRR29492870_1	0	0
SRR29492870_2	0	0
SRR29492871_1	0	0
SRR29492871_2	0	0
SRR29492872_1	0	0
SRR29492872_2	0	0
SRR29492873_1	0	0
SRR29492873_2	0	0
SRR29492874_1	0	0
SRR29492874_2	0	0
SRR29492875_1	0	0
SRR29492875_2	0	0
SRR29492876_1	0	0
SRR29492876_2	0	0
SRR29492877_1	0	0
SRR29492877_2	0	0
SRR29492878_1	0	0
SRR29492878_2	0	0
SRR29492879_1	0	0
SRR29492879_2	0	0
SRR29492880_1	0	0
SRR29492880_2	0	0
SRR29492881_1	0	0
SRR29492881_2	0	0
SRR29492882_1	0	0
SRR29492882_2	0	0
SRR29492883_1	0	0
SRR29492883_2	0	0
SRR29492884_1	0	0
SRR29492884_2	0	0
SRR29492885_1	0	0
SRR29492885_2	0	0
SRR29492886_1	0	0
SRR29492886_2	0	0
SRR29492887_1	0	0
SRR29492887_2	0	0
SRR29492888_1	0	0
SRR29492888_2	0	0
SRR29492889_1	0	0
SRR29492889_2	0	0
SRR29492890_1	0	0
SRR29492890_2	0	0
SRR29492891_1	0	0
SRR29492891_2	0	0
SRR29492892_1	0	0
SRR29492892_2	0	0
SRR29492893_1	0	0
SRR29492893_2	0	0
SRR29492894_1	0	0
SRR29492894_2	0	0
SRR29492895_1	0	0
SRR29492895_2	0	0
SRR29492896_1	0	0
SRR29492896_2	0	0
SRR29492897_1	0	0
SRR29492897_2	0	0
SRR29492898_1	0	0
SRR29492898_2	0	0
SRR29492899_1	0	0
SRR29492899_2	0	0
SRR29492900_1	0	0
SRR29492900_2	0	0
SRR29492901_1	0	0
SRR29492901_2	0	0
SRR29492902_1	0	0
SRR29492902_2	0	0
SRR29492903_1	0	0
SRR29492903_2	0	0
SRR29492904_1	0	0
SRR29492904_2	0	0
SRR29492905_1	0	0
SRR29492905_2	0	0
SRR29492906_1	0	0
SRR29492906_2	0	0
SRR29492907_1	0	0
SRR29492907_2	0	0
SRR29492908_1	0	0
SRR29492908_2	0	0
SRR29492909_1	0	0
SRR29492909_2	0	0
SRR29492910_1	0	0
SRR29492910_2	0	0
SRR29492911_1	0	0
SRR29492911_2	0	0
SRR29492912_1	0.4896629751081241	3.0967035443358246
SRR29492912_2	0.6084894830265524	3.8059785653191476
SRR29492913_1	0.24242616048282573	1.181287715631984
SRR29492913_2	0.2930537866313243	1.8775680626232087
SRR29492914_1	0.29023568352046647	1.293592810547406
SRR29492914_2	0.3307108620639436	2.039703774211073
SRR29492915_1	0.27607330991561907	1.1531797815848153
SRR29492915_2	0.3595208570852813	1.8921039483455164
SRR29492916_1	0.20013850198706584	0.9400897487329216
SRR29492916_2	0.3883342069462745	1.285201704155612
SRR29492917_1	0.3144013936768687	0.5615701078446095
SRR29492917_2	0.57192680370205	1.5489163702752526
SRR29492918_1	0.4215708818494991	2.3140032129790984
SRR29492918_2	0.5447180947972845	3.3140053546697583
SRR29492919_1	0.2443186559095995	0.9623191326532134
SRR29492919_2	0.4005995538842756	1.4608039681637228
SRR29492920_1	0.17252616638212598	0
SRR29492920_2	0.3175209378073929	0.7236524223286671
SRR29492921_1	0.22226494996360718	0.4648576930604766
SRR29492921_2	0.44854250767678416	1.4441817357656992
SRR29492922_1	0.18236992598679957	0.24618826250163584
SRR29492922_2	0.23685921289392395	1.0020348624833648
SRR29492923_1	0	0
SRR29492923_2	0	0
SRR29492924_1	0	0
SRR29492924_2	0	0
SRR29492925_1	0	0
SRR29492925_2	0	0
SRR29492926_1	0	0
SRR29492926_2	0	0
SRR29492927_1	0	0
SRR29492927_2	0	0
SRR29492928_1	0	0
SRR29492928_2	0	0
SRR29492929_1	0	0
SRR29492929_2	0	0
SRR29492930_1	0	0
SRR29492930_2	0	0
SRR29492931_1	0	0
SRR29492931_2	0	0
SRR29492932_1	0	0
SRR29492932_2	0	0
SRR29492933_1	0	0
SRR29492933_2	0	0
SRR29492934_1	0	0
SRR29492934_2	0	0
SRR29492935_1	0	0
SRR29492935_2	0	0
SRR29492936_1	0	0
