Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR29492859_1	(1, 0.017834639662294656)	(2, 0.0)	(3, 0.0001280899342032147)	(4, 0.0017781896748210978)	(5, 0.0)	(6, 0.02938282627928252)	(7, 0.0)	(8, 0.0)	(9, 3.767351005976903e-05)	(10, 0.0)	(15, 0.00027577009363750926)	(20, 0.0)	(25, 1.858559829615272e-05)	(30, 0.00040737622211296906)	(35, 5.726373529084892e-05)	(40, 0.0028451034797137564)	(45, 0.0007343822894317641)	(50, 0.0027310783225995222)	(55, 0.003748263094213286)	(60, 0.010181893985486908)	(65, 0.0035553747227072686)	(70, 0.0014260679341291235)	(75, 0.0024924794255543185)	(80, 0.004821204660715507)	(85, 0.0017686457189392897)	(90, 0.001123675226716044)	(95, 0.002436722630665861)	(100, 0.002311144263799964)	(105, 0.00444346493318289)	(110, 1.4567090556444023e-05)	(115, 0.00010247194736257173)	(120, 0.0012090685161848537)	(125, 0.0002807932283121451)	(130, 0.0008679976717770782)	(135, 1.004626934927174e-06)	(140, 0.0005163782445525674)	(145, 5.023134674635869e-05)	(150, 0.0003126901334960829)
SRR29492859_2	(1, 0.0039406491522518405)	(2, 0.0)	(3, 0.0)	(4, 0.00019087911763616304)	(5, 0.0)	(6, 2.511567337317935e-06)	(7, 0.01852280911271977)	(8, 0.005623399268254856)	(9, 0.0012256448606111521)	(10, 0.00018686060989645437)	(15, 0.00024161277784998534)	(20, 0.0001984138196481169)	(25, 5.02313467463587e-07)	(30, 1.004626934927174e-06)	(35, 0.0003199736787743049)	(40, 2.009253869854348e-06)	(45, 3.0138808047815216e-06)	(50, 2.511567337317935e-06)	(55, 0.0032258570880511553)	(60, 0.0022578990362488237)	(65, 0.00026924001856048265)	(70, 0.0005349638428487201)	(75, 0.0019997099139725397)	(80, 0.0024708799464533845)	(85, 0.0)	(90, 0.003968778706429801)	(95, 1.657634442629837e-05)	(100, 0.0049487922814512595)	(105, 0.00017078657893761958)	(110, 0.00028631867645424454)	(115, 0.001870615352834398)	(120, 0.0009428423784291526)	(125, 1.5069404023907611e-05)	(130, 0.004090840879023452)	(135, 0.008374067816085459)	(140, 0.000603278474423768)	(145, 0.12398553086056972)	(150, 0.004032321360063945)
SRR29492860_1	(1, 0.03001590622698703)	(2, 0.0)	(3, 0.00018325634448294593)	(4, 0.0019268398301414951)	(5, 0.0)	(6, 0.031242558521271717)	(7, 0.0)	(8, 0.0)	(9, 0.0002669398775127305)	(10, 0.0)	(15, 0.0004480776515392262)	(20, 0.0)	(25, 3.5803840714009086e-05)	(30, 0.0005205327611498245)	(35, 0.00012732608443265955)	(40, 0.002878713536224589)	(45, 0.0007664987911436975)	(50, 0.002836553984141229)	(55, 0.003823384102755752)	(60, 0.010357267247493942)	(65, 0.003658135607152633)	(70, 0.001541260007067551)	(75, 0.0025391066920556152)	(80, 0.005024613551563039)	(85, 0.0018950612732947414)	(90, 0.0011374604780681349)	(95, 0.002452245303341155)	(100, 0.003072562732989786)	(105, 0.0045678497611523665)	(110, 6.334525664786223e-05)	(115, 0.00013813079376055577)	(120, 0.0013020734025343188)	(125, 0.00035189455281638523)	(130, 0.000893401161485067)	(135, 4.02528386725546e-06)	(140, 0.0005220157604693396)	(145, 0.00011885180260685858)	(150, 0.0007632150069361996)
SRR29492860_2	(1, 0.02067089194358501)	(2, 0.0)	(3, 0.0)	(4, 0.00017478206265714497)	(5, 0.0)	(6, 1.059285228225121e-06)	(7, 0.019056541255769926)	(8, 0.005883270157562322)	(9, 0.001367537229638631)	(10, 0.0002156704724666346)	(15, 0.00022139061269905032)	(20, 0.0001864342001676213)	(25, 8.474281825800968e-07)	(30, 1.2711422738701452e-06)	(35, 0.000288761153214168)	(40, 2.118570456450242e-06)	(45, 6.5675684149957495e-06)	(50, 5.720140232415653e-06)	(55, 0.003310690052294793)	(60, 0.0022791580970491702)	(65, 0.00033134441938881785)	(70, 0.0005323967557059458)	(75, 0.0019944222277022577)	(80, 0.0024977945681548355)	(85, 0.0)	(90, 0.0040886291239033215)	(95, 1.5465564332086766e-05)	(100, 0.005092195949123802)	(105, 0.0001516896446818373)	(110, 0.0002963880068573888)	(115, 0.0018882818478341008)	(120, 0.0009173410076429547)	(125, 1.949084819934223e-05)	(130, 0.004200065929912605)	(135, 0.008559236501104623)	(140, 0.0006275205692005617)	(145, 0.12513103358273145)	(150, 0.003947426402980913)
SRR29492861_1	(1, 0.020423963121257313)	(2, 0.00029772540993086463)	(3, 0.0006840050443539865)	(4, 0.0014061800130580838)	(5, 0.0)	(6, 0.014860314947985157)	(7, 1.8321563688053208e-05)	(8, 0.0)	(9, 0.0)	(10, 1.435189155564168e-05)	(15, 0.0001300831021851778)	(20, 6.107187896017737e-07)	(25, 1.0992938212831926e-05)	(30, 0.0001923764187245587)	(35, 0.0006504155109258888)	(40, 0.001597334994203439)	(45, 0.0002775716898740061)	(50, 0.0016690944519816473)	(55, 0.0025906691054907237)	(60, 0.007852622196699605)	(65, 0.0027512881471559903)	(70, 0.0005356003784807554)	(75, 0.0020330828505843042)	(80, 0.004088151577594273)	(85, 0.0015316827243212483)	(90, 0.0008125613495651598)	(95, 0.0024324929389838643)	(100, 0.002050182976693154)	(105, 0.003250245398260639)	(110, 0.00012825094581637246)	(115, 0.0003520793822054225)	(120, 0.0015417595843496778)	(125, 0.0004977358135254455)	(130, 0.0012495306435252288)	(135, 5.282717530055342e-05)	(140, 0.0004907125474450251)	(145, 0.0005026215638422597)	(150, 5.954508198617294e-05)
SRR29492861_2	(1, 0.021485087018190397)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.014390061479991792)	(8, 0.0036551519557666153)	(9, 0.0002091711854386075)	(10, 0.00011634192941913787)	(15, 0.0001670315889560851)	(20, 0.00017313877685210284)	(25, 1.526796974004434e-06)	(30, 6.71790668561951e-06)	(35, 0.0003093290669332984)	(40, 1.8321563688053207e-06)	(45, 0.00019543001267256755)	(50, 5.221645651095164e-05)	(55, 0.0024526466590407228)	(60, 0.00264441235897568)	(65, 0.00022596595215265623)	(70, 0.0007603448930542082)	(75, 0.001803147226299237)	(80, 0.002266682787606983)	(85, 0.00010412755362710241)	(90, 0.003089626356595373)	(95, 5.862900380177026e-05)	(100, 0.003853330202992391)	(105, 0.061070352163203355)	(110, 0.0003816992435011085)	(115, 0.001870020933760631)	(120, 0.0012147196725179278)	(125, 3.358953342809755e-05)	(130, 0.0037003451461971463)	(135, 0.007537796660659892)	(140, 0.0008745493067097398)	(145, 0.00469337389808963)	(150, 0.004972777744332442)
SRR29492862_1	(1, 0.024892137209755413)	(2, 0.0008464721168807582)	(3, 0.06279651712563003)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00017431468634282503)	(9, 0.0)	(10, 2.5938025327812365e-05)	(15, 9.956854883902165e-05)	(20, 2.5938025327812365e-05)	(25, 0.0)	(30, 0.0001154660482334873)	(35, 3.0679384796337206e-06)	(40, 2.7890349814852004e-06)	(45, 2.5101314833366804e-05)	(50, 5.215495415377325e-05)	(55, 2.0917762361139003e-05)	(60, 3.4862937268565005e-05)	(65, 0.00014642433652797303)	(70, 2.7053639320406446e-05)	(75, 0.00038349230995421505)	(80, 8.367104944455601e-07)	(85, 4.462455970376321e-05)	(90, 6.52634185667537e-05)	(95, 0.00030567823397077796)	(100, 1.1713946922237842e-05)	(105, 0.019902274724380244)	(110, 5.076043666303065e-05)	(115, 5.2991664648218815e-06)	(120, 0.0001154660482334873)	(125, 0.003409874168363806)	(130, 5.0202629666733604e-06)	(135, 0.00045266037749504804)	(140, 0.00014224078405574524)	(145, 0.00011574495173163582)	(150, 0.0)
SRR29492862_2	(1, 0.017297594955171212)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00024125152589846984)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.0679384796337206e-06)	(15, 3.0679384796337206e-06)	(20, 0.020476537027068045)	(25, 0.0030227561129336604)	(30, 0.0015253232313742562)	(35, 0.0)	(40, 1.3387367911128962e-05)	(45, 0.014523062955589737)	(50, 0.0035811209162269976)	(55, 0.006352306073830693)	(60, 1.6734209888911202e-06)	(65, 0.00802628486971811)	(70, 0.029863034257256487)	(75, 0.0)	(80, 0.00047943511331730596)	(85, 1.6734209888911202e-06)	(90, 0.009581729678892406)	(95, 0.018726417576186084)	(100, 7.614065499454597e-05)	(105, 3.0400481298188685e-05)	(110, 0.0003438880132171252)	(115, 2.5380218331515327e-05)	(120, 8.367104944455601e-07)	(125, 8.367104944455601e-07)	(130, 0.0)	(135, 0.0014865556451316118)	(140, 0.018019118304881433)	(145, 5.2991664648218815e-06)	(150, 2.4404056087995504e-05)
SRR29492863_1	(1, 0.024955932865549712)	(2, 0.0007699003315365415)	(3, 0.06264670411463788)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0001116212376577142)	(9, 0.0)	(10, 1.8603539609619034e-05)	(15, 9.38763229531545e-05)	(20, 2.203803922985639e-05)	(25, 0.0)	(30, 9.530736446158672e-05)	(35, 2.57587471517802e-06)	(40, 2.57587471517802e-06)	(45, 2.3469080738288625e-05)	(50, 4.693816147657725e-05)	(55, 2.032078941973771e-05)	(60, 2.6617372056839536e-05)	(65, 0.00012163852821673981)	(70, 2.3469080738288625e-05)	(75, 0.00036920870917551616)	(80, 0.0)	(85, 4.4648495063085676e-05)	(90, 4.865541128669593e-05)	(95, 0.00031912225638038803)	(100, 7.72762414553406e-06)	(105, 0.0186295845650725)	(110, 4.207262034790766e-05)	(115, 4.006916223610253e-06)	(120, 9.816944747845119e-05)	(125, 0.0034299202874103767)	(130, 5.15174943035604e-06)	(135, 0.0004670919483522809)	(140, 0.00014568002555840134)	(145, 0.00011763161199312958)	(150, 0.0)
SRR29492863_2	(1, 0.016197958833944447)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00020750101872267382)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.720707921923807e-06)	(15, 2.289666413491573e-06)	(20, 0.019829942182345458)	(25, 0.0030441114967370464)	(30, 0.0015658456185265494)	(35, 0.0)	(40, 9.158665653966292e-06)	(45, 0.01460520963505937)	(50, 0.003598210768802007)	(55, 0.006427379830972532)	(60, 8.586249050593399e-07)	(65, 0.008031004945321694)	(70, 0.028451967270649664)	(75, 0.0)	(80, 0.0004842644464534677)	(85, 1.4310415084322332e-06)	(90, 0.009625185185715202)	(95, 0.01787399464862028)	(100, 6.954861730980654e-05)	(105, 2.3755289039975072e-05)	(110, 0.00029794284205559093)	(115, 2.1751830928169945e-05)	(120, 5.724166033728932e-07)	(125, 5.724166033728932e-07)	(130, 0.0)	(135, 0.0015137557076196162)	(140, 0.016753202939216155)	(145, 4.2931245252967e-06)	(150, 2.4327705643347966e-05)
