Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR29492859_1	(1, 35.4383905374189)	(2, 35.58113699909144)	(3, 35.83302442310868)	(4, 35.79145378935861)	(5, 35.97700878609044)	(6, 36.18858535341834)	(7, 36.14479007378357)	(8, 36.12670221790233)	(9, 36.17247093645672)	(10, 36.148555053869984)	(15, 36.123473673437225)	(20, 36.08797144850251)	(25, 35.98939810163183)	(30, 35.91569194873138)	(35, 35.87154509990073)	(40, 35.83015890058651)	(45, 35.74977607744669)	(50, 35.66921851452095)	(55, 35.606326934487655)	(60, 35.54251820540979)	(65, 35.46306128663827)	(70, 35.42186430378412)	(75, 35.33902373619502)	(80, 35.28292407217994)	(85, 35.151583823245936)	(90, 34.96211505113238)	(95, 34.75594372331067)	(100, 34.553797845200805)	(105, 34.439998161532706)	(110, 34.2515125223608)	(115, 34.13946371256117)	(120, 34.14482062951179)	(125, 34.06623470220032)	(130, 33.979757646309785)	(135, 33.95759189919071)	(140, 33.88638450463416)	(145, 33.73772030307083)	(150, 33.44584646412132)
SRR29492859_2	(1, 34.4270845914716)	(2, 35.20945768354377)	(3, 35.19962519880625)	(4, 35.196593134253945)	(5, 35.144468015503904)	(6, 35.3834248862417)	(7, 35.258513591660595)	(8, 35.248148604416215)	(9, 35.350207675224205)	(10, 35.209318763731204)	(15, 35.1283996958492)	(20, 35.041007088270916)	(25, 34.94003487813561)	(30, 34.8515475938871)	(35, 34.76114860504411)	(40, 34.686402276484635)	(45, 34.544546532122006)	(50, 34.443679752560385)	(55, 34.35439710516748)	(60, 34.242151157424416)	(65, 34.14655112452287)	(70, 34.0899367549671)	(75, 33.96238518024577)	(80, 33.935458114277566)	(85, 33.813771978568795)	(90, 33.712599511123415)	(95, 33.63582603126525)	(100, 33.52268529245004)	(105, 33.38118257399234)	(110, 33.26425448707202)	(115, 33.11028812574915)	(120, 33.00685451432253)	(125, 32.8839473349445)	(130, 32.70948050615617)	(135, 32.706723332648934)	(140, 32.60420161606801)	(145, 32.322520649164815)	(150, 31.98915910841871)
SRR29492860_1	(1, 35.455826005198126)	(2, 35.73588165580687)	(3, 35.93129517321856)	(4, 35.859052619781856)	(5, 36.106378570744575)	(6, 36.2431571657256)	(7, 36.1852960193756)	(8, 36.185771553700256)	(9, 36.20029092209508)	(10, 36.17983217108558)	(15, 36.152385279409785)	(20, 36.116731414416954)	(25, 36.020078304482645)	(30, 35.949560110623274)	(35, 35.9135802548386)	(40, 35.86630200984542)	(45, 35.805514880415174)	(50, 35.727727839541174)	(55, 35.671360641282796)	(60, 35.611006986197935)	(65, 35.547335183692766)	(70, 35.51441811131986)	(75, 35.427887520433615)	(80, 35.330905267274616)	(85, 35.061795545663244)	(90, 34.70592339376344)	(95, 34.282619716179354)	(100, 33.89933349985297)	(105, 33.588584343679585)	(110, 33.33387536746604)	(115, 33.21328838574253)	(120, 33.22431710847335)	(125, 33.17531430052007)	(130, 33.11813166449302)	(135, 33.12959894401973)	(140, 33.08878762687059)	(145, 33.00796111109698)	(150, 32.813596365507635)
SRR29492860_2	(1, 35.04799290872097)	(2, 35.55043034521682)	(3, 35.56453116883227)	(4, 35.58174507284069)	(5, 35.558160627469725)	(6, 35.72803645169956)	(7, 35.62737224808291)	(8, 35.61167955181218)	(9, 35.71824689777728)	(10, 35.59275288316253)	(15, 35.52939749762932)	(20, 35.46924860237907)	(25, 35.38772961702178)	(30, 35.318784567654845)	(35, 35.249589372318425)	(40, 35.1968181953)	(45, 35.087866923691635)	(50, 35.01276335101916)	(55, 34.94600789506466)	(60, 34.85718944934964)	(65, 34.784336027307525)	(70, 34.73123201863325)	(75, 34.616919056202285)	(80, 34.593197177047244)	(85, 34.4937883217617)	(90, 34.40805983224312)	(95, 34.33426217182284)	(100, 34.19690120512762)	(105, 34.04696374956463)	(110, 33.858673543970085)	(115, 33.6713450019957)	(120, 33.530138918901976)	(125, 33.40148780847445)	(130, 33.22405932293878)	(135, 33.2028452125816)	(140, 33.09734895228216)	(145, 32.839336237046)	(150, 32.56856940246144)
SRR29492861_1	(1, 34.22299266772548)	(2, 34.10735123275801)	(3, 34.655029140218026)	(4, 34.4055606067937)	(5, 34.730637225664545)	(6, 35.29092781971117)	(7, 35.18665639600521)	(8, 35.180824336923905)	(9, 35.210306725420054)	(10, 35.17996042328491)	(15, 35.13727131730348)	(20, 35.061182571740794)	(25, 34.85774873511359)	(30, 34.75129715220454)	(35, 34.6654750087535)	(40, 34.59831788807701)	(45, 34.48772164988795)	(50, 34.365139246250564)	(55, 34.22010412969114)	(60, 34.17789295085929)	(65, 34.027657405019525)	(70, 33.96122188218248)	(75, 33.81650775941888)	(80, 33.70408748742091)	(85, 33.582930498384854)	(90, 33.425136693751384)	(95, 33.179861557073664)	(100, 32.93384253132068)	(105, 32.749386078753744)	(110, 32.365803610578645)	(115, 32.17738928801991)	(120, 32.19924103227781)	(125, 32.01977024667527)	(130, 31.975552239793604)	(135, 31.995614855875022)	(140, 31.914422553246396)	(145, 31.77099267132872)	(150, 31.680121117139635)
SRR29492861_2	(1, 34.93785615688437)	(2, 36.008412300163464)	(3, 36.12068155972632)	(4, 36.08685894547217)	(5, 36.1035396909882)	(6, 36.24204115472082)	(7, 36.178736625277594)	(8, 36.14314935434886)	(9, 36.26317100188707)	(10, 36.16149076945116)	(15, 36.11092165358892)	(20, 36.070853486989776)	(25, 36.00194572563492)	(30, 35.93400392292161)	(35, 35.85866426365109)	(40, 35.823637608142455)	(45, 35.70132562162432)	(50, 35.6448742242211)	(55, 35.5570915910084)	(60, 35.511924655378635)	(65, 35.402197983030966)	(70, 35.35611374777922)	(75, 35.29876208980825)	(80, 35.231461996809514)	(85, 35.100902137001235)	(90, 35.00303772747385)	(95, 34.954450723872)	(100, 34.87260929740269)	(105, 34.647252341812646)	(110, 34.47150650110915)	(115, 34.20720518699346)	(120, 34.05622006323291)	(125, 33.980928629371604)	(130, 33.742658660122984)	(135, 33.67224180347823)	(140, 33.603316450368645)	(145, 33.45557699161543)	(150, 33.098273585009224)
SRR29492862_1	(1, 35.62819021848895)	(2, 36.028375530340234)	(3, 36.12582187457149)	(4, 36.14014149137036)	(5, 36.28858129613735)	(6, 36.41706385430048)	(7, 36.3623867479226)	(8, 36.357352107480594)	(9, 36.41169234026824)	(10, 36.36882450166115)	(15, 36.33069544266524)	(20, 36.30929676142418)	(25, 36.2440691791679)	(30, 36.1773292343258)	(35, 36.15203263963014)	(40, 36.12183596148516)	(45, 36.06776015989314)	(50, 36.00959319261267)	(55, 35.963647383367125)	(60, 35.90251144651333)	(65, 35.85757221114875)	(70, 35.82718019178269)	(75, 35.76014617667022)	(80, 35.693120021058334)	(85, 35.530392349866695)	(90, 35.4007358813018)	(95, 35.23562070412786)	(100, 35.07131363868367)	(105, 34.92213374396109)	(110, 34.72720984898616)	(115, 34.732010143552884)	(120, 34.65691648392328)	(125, 34.69163152424485)	(130, 34.705653921952845)	(135, 34.73123401647631)	(140, 34.720799553297)	(145, 34.734877455590166)	(150, 34.37696336034983)
SRR29492862_2	(1, 35.019942659950914)	(2, 35.546892386800494)	(3, 35.648581885181535)	(4, 35.6625589945395)	(5, 35.62867788125547)	(6, 35.799836760571566)	(7, 35.74240672327004)	(8, 35.71793832414502)	(9, 35.869493453095984)	(10, 35.70320890885826)	(15, 35.61238720881063)	(20, 35.517474476948216)	(25, 35.480875387715955)	(30, 35.41675206250183)	(35, 35.366506501219625)	(40, 35.27850792373903)	(45, 35.205007352523744)	(50, 35.12577251423039)	(55, 35.060420644208236)	(60, 34.98599303681159)	(65, 34.860964207602876)	(70, 34.78800383620605)	(75, 34.72397904201976)	(80, 34.63620230717062)	(85, 34.52723442317339)	(90, 34.482450238630534)	(95, 34.3878965643426)	(100, 34.237848685676326)	(105, 34.10141747822122)	(110, 33.84274682237923)	(115, 33.75816329551593)	(120, 33.53087797942671)	(125, 33.407378863390434)	(130, 33.26390093872084)	(135, 33.218669384599856)	(140, 33.06017486607856)	(145, 32.92837605049525)	(150, 32.44770099218943)
SRR29492863_1	(1, 35.567352676959906)	(2, 35.96813758891687)	(3, 36.088053558159494)	(4, 36.0994256586458)	(5, 36.25416701041476)	(6, 36.39611021452386)	(7, 36.337948423117474)	(8, 36.32800228394225)	(9, 36.38353565278926)	(10, 36.337499267843384)	(15, 36.298725498691134)	(20, 36.274934356337205)	(25, 36.20429854531053)	(30, 36.13238946796381)	(35, 36.095740134310404)	(40, 36.05833485584224)	(45, 36.00449689052568)	(50, 35.94163819192199)	(55, 35.88654555810082)	(60, 35.81994830934967)	(65, 35.77409078455777)	(70, 35.74483624055378)	(75, 35.6828568539912)	(80, 35.60676192585272)	(85, 35.45652191514854)	(90, 35.34345338507502)	(95, 35.18951568618262)	(100, 35.025354280441924)	(105, 34.82190858149084)	(110, 34.559071740615146)	(115, 34.54092656646275)	(120, 34.457696010292054)	(125, 34.4853227445802)	(130, 34.50797166680918)	(135, 34.534180539481184)	(140, 34.5254559974413)	(145, 34.546880303037355)	(150, 34.21015265277531)
SRR29492863_2	(1, 35.17444191348853)	(2, 35.505789972477494)	(3, 35.63674689920137)	(4, 35.653096949126834)	(5, 35.616721419507314)	(6, 35.80945264451104)	(7, 35.748795388611846)	(8, 35.71655969035124)	(9, 35.86937723577876)	(10, 35.701322707373116)	(15, 35.614964764538215)	(20, 35.522312912251756)	(25, 35.48322929971626)	(30, 35.4198597450528)	(35, 35.36828134276056)	(40, 35.27973088692018)	(45, 35.20446172124957)	(50, 35.12604706910177)	(55, 35.06249383167446)	(60, 34.98815490022599)	(65, 34.866038395559194)	(70, 34.775966731147015)	(75, 34.718838947368795)	(80, 34.63354222770947)	(85, 34.53182320483892)	(90, 34.48634280813991)	(95, 34.38616893802767)	(100, 34.223916318416755)	(105, 34.07780858889648)	(110, 33.7795336994176)	(115, 33.64215283594862)	(120, 33.3801771443352)	(125, 33.24366485150976)	(130, 33.09568132995273)	(135, 33.042073813836524)	(140, 32.876031870725434)	(145, 32.74981250995021)	(150, 32.32829715004506)
