Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR29492859_1	(14.0, 6.0)	(15.0, 71.0)	(16.0, 303.0)	(17.0, 770.0)	(18.0, 1704.0)	(19.0, 3224.0)	(20.0, 6235.0)	(21.0, 12580.0)	(22.0, 24156.0)	(23.0, 45576.0)	(24.0, 77081.0)	(25.0, 122138.0)	(26.0, 178499.0)	(27.0, 263265.0)	(28.0, 374598.0)	(29.0, 546932.0)	(30.0, 775549.0)	(31.0, 1175609.0)	(32.0, 2356132.0)	(33.0, 2980838.0)	(34.0, 3433363.0)	(35.0, 7040993.0)	(36.0, 19548723.0)	(37.0, 847430.0)						
SRR29492859_2	(12.0, 12.0)	(13.0, 163.0)	(14.0, 598.0)	(15.0, 1449.0)	(16.0, 3026.0)	(17.0, 7032.0)	(18.0, 18337.0)	(19.0, 43429.0)	(20.0, 83784.0)	(21.0, 139720.0)	(22.0, 206063.0)	(23.0, 288008.0)	(24.0, 373872.0)	(25.0, 472203.0)	(26.0, 572048.0)	(27.0, 715808.0)	(28.0, 870916.0)	(29.0, 1095195.0)	(30.0, 1365683.0)	(31.0, 1778172.0)	(32.0, 2312902.0)	(33.0, 3251675.0)	(34.0, 4826978.0)	(35.0, 8575168.0)	(36.0, 12437462.0)	(37.0, 376072.0)				
SRR29492860_1	(14.0, 13.0)	(15.0, 160.0)	(16.0, 718.0)	(17.0, 1865.0)	(18.0, 3811.0)	(19.0, 7531.0)	(20.0, 14512.0)	(21.0, 30239.0)	(22.0, 62565.0)	(23.0, 129131.0)	(24.0, 231924.0)	(25.0, 378696.0)	(26.0, 552592.0)	(27.0, 797196.0)	(28.0, 1105729.0)	(29.0, 1546612.0)	(30.0, 2134480.0)	(31.0, 3323895.0)	(32.0, 8642196.0)	(33.0, 9351725.0)	(34.0, 7129541.0)	(35.0, 13697455.0)	(36.0, 43269042.0)	(37.0, 1991652.0)						
SRR29492860_2	(11.0, 4.0)	(12.0, 67.0)	(13.0, 460.0)	(14.0, 1659.0)	(15.0, 3903.0)	(16.0, 7628.0)	(17.0, 17092.0)	(18.0, 37549.0)	(19.0, 78750.0)	(20.0, 144093.0)	(21.0, 244099.0)	(22.0, 382734.0)	(23.0, 567556.0)	(24.0, 734539.0)	(25.0, 892834.0)	(26.0, 1025766.0)	(27.0, 1228972.0)	(28.0, 1461090.0)	(29.0, 1809455.0)	(30.0, 2250911.0)	(31.0, 2977244.0)	(32.0, 4039863.0)	(33.0, 6118599.0)	(34.0, 10271559.0)	(35.0, 22176197.0)	(36.0, 36451827.0)	(37.0, 1478830.0)			
SRR29492861_1	(14.0, 3.0)	(15.0, 32.0)	(16.0, 194.0)	(17.0, 600.0)	(18.0, 1546.0)	(19.0, 3724.0)	(20.0, 8948.0)	(21.0, 22848.0)	(22.0, 56579.0)	(23.0, 125267.0)	(24.0, 229077.0)	(25.0, 390227.0)	(26.0, 613581.0)	(27.0, 968578.0)	(28.0, 1439122.0)	(29.0, 2122129.0)	(30.0, 3027116.0)	(31.0, 4495590.0)	(32.0, 6743746.0)	(33.0, 10134006.0)	(34.0, 12787986.0)	(35.0, 14823293.0)	(36.0, 7479292.0)	(37.0, 23109.0)						
SRR29492861_2	(12.0, 5.0)	(13.0, 110.0)	(14.0, 373.0)	(15.0, 1022.0)	(16.0, 2067.0)	(17.0, 3806.0)	(18.0, 7129.0)	(19.0, 15744.0)	(20.0, 35291.0)	(21.0, 74977.0)	(22.0, 133793.0)	(23.0, 209642.0)	(24.0, 279916.0)	(25.0, 353170.0)	(26.0, 420807.0)	(27.0, 514699.0)	(28.0, 624867.0)	(29.0, 796445.0)	(30.0, 1020863.0)	(31.0, 1415785.0)	(32.0, 2058202.0)	(33.0, 3439973.0)	(34.0, 6597833.0)	(35.0, 16169431.0)	(36.0, 30065960.0)	(37.0, 1254683.0)				
SRR29492862_1	(13.0, 1.0)	(14.0, 4.0)	(15.0, 141.0)	(16.0, 664.0)	(17.0, 1597.0)	(18.0, 3038.0)	(19.0, 6018.0)	(20.0, 11193.0)	(21.0, 22089.0)	(22.0, 40922.0)	(23.0, 74647.0)	(24.0, 124728.0)	(25.0, 195152.0)	(26.0, 274870.0)	(27.0, 384671.0)	(28.0, 522340.0)	(29.0, 727426.0)	(30.0, 982461.0)	(31.0, 1357937.0)	(32.0, 1874665.0)	(33.0, 2975390.0)	(34.0, 6102094.0)	(35.0, 12230596.0)	(36.0, 40592095.0)	(37.0, 3204652.0)					
SRR29492862_2	(11.0, 2.0)	(12.0, 43.0)	(13.0, 319.0)	(14.0, 1013.0)	(15.0, 2266.0)	(16.0, 4341.0)	(17.0, 9358.0)	(18.0, 22784.0)	(19.0, 54607.0)	(20.0, 107991.0)	(21.0, 183498.0)	(22.0, 273842.0)	(23.0, 386007.0)	(24.0, 491474.0)	(25.0, 603710.0)	(26.0, 704169.0)	(27.0, 854207.0)	(28.0, 1024074.0)	(29.0, 1277023.0)	(30.0, 1607619.0)	(31.0, 2172625.0)	(32.0, 3064719.0)	(33.0, 4801649.0)	(34.0, 8183656.0)	(35.0, 17553236.0)	(36.0, 27338211.0)	(37.0, 986948.0)			
SRR29492863_1	(13.0, 2.0)	(14.0, 19.0)	(15.0, 187.0)	(16.0, 710.0)	(17.0, 1745.0)	(18.0, 3203.0)	(19.0, 6320.0)	(20.0, 12007.0)	(21.0, 23681.0)	(22.0, 44618.0)	(23.0, 82111.0)	(24.0, 134652.0)	(25.0, 210041.0)	(26.0, 298574.0)	(27.0, 424327.0)	(28.0, 576993.0)	(29.0, 796018.0)	(30.0, 1062736.0)	(31.0, 1444139.0)	(32.0, 1943872.0)	(33.0, 2936606.0)	(34.0, 5583246.0)	(35.0, 14167883.0)	(36.0, 37558918.0)	(37.0, 2566567.0)					
SRR29492863_2	(11.0, 2.0)	(12.0, 64.0)	(13.0, 363.0)	(14.0, 1161.0)	(15.0, 2467.0)	(16.0, 4882.0)	(17.0, 11886.0)	(18.0, 31194.0)	(19.0, 72261.0)	(20.0, 132944.0)	(21.0, 210573.0)	(22.0, 296806.0)	(23.0, 404957.0)	(24.0, 504928.0)	(25.0, 612181.0)	(26.0, 706427.0)	(27.0, 848335.0)	(28.0, 1007036.0)	(29.0, 1256219.0)	(30.0, 1571173.0)	(31.0, 2106586.0)	(32.0, 2976967.0)	(33.0, 4659388.0)	(34.0, 7964971.0)	(35.0, 17003780.0)	(36.0, 26416032.0)	(37.0, 1075592.0)			
SRR29492864_1	(14.0, 11.0)	(15.0, 90.0)	(16.0, 559.0)	(17.0, 1509.0)	(18.0, 3227.0)	(19.0, 6805.0)	(20.0, 14489.0)	(21.0, 33134.0)	(22.0, 75690.0)	(23.0, 162213.0)	(24.0, 293402.0)	(25.0, 477516.0)	(26.0, 694164.0)	(27.0, 1011536.0)	(28.0, 1409076.0)	(29.0, 1995285.0)	(30.0, 2780533.0)	(31.0, 4394740.0)	(32.0, 11268986.0)	(33.0, 11897275.0)	(34.0, 7426879.0)	(35.0, 14057814.0)	(36.0, 44919063.0)	(37.0, 2148557.0)						
SRR29492864_2	(11.0, 3.0)	(12.0, 69.0)	(13.0, 408.0)	(14.0, 1383.0)	(15.0, 2913.0)	(16.0, 5684.0)	(17.0, 12218.0)	(18.0, 29960.0)	(19.0, 76429.0)	(20.0, 177042.0)	(21.0, 376516.0)	(22.0, 666989.0)	(23.0, 1005987.0)	(24.0, 1255410.0)	(25.0, 1459777.0)	(26.0, 1588768.0)	(27.0, 1810328.0)	(28.0, 2054162.0)	(29.0, 2451724.0)	(30.0, 2950703.0)	(31.0, 3801690.0)	(32.0, 5071280.0)	(33.0, 7551676.0)	(34.0, 12416987.0)	(35.0, 24981314.0)	(36.0, 34232918.0)	(37.0, 1090215.0)			
SRR29492865_1	(14.0, 2.0)	(15.0, 52.0)	(16.0, 237.0)	(17.0, 951.0)	(18.0, 2479.0)	(19.0, 6728.0)	(20.0, 17577.0)	(21.0, 49893.0)	(22.0, 127589.0)	(23.0, 282613.0)	(24.0, 523284.0)	(25.0, 912253.0)	(26.0, 1485671.0)	(27.0, 2453760.0)	(28.0, 3879297.0)	(29.0, 6130595.0)	(30.0, 8737491.0)	(31.0, 10395624.0)	(32.0, 9800927.0)	(33.0, 11417425.0)	(34.0, 14775441.0)	(35.0, 15766055.0)	(36.0, 6148589.0)	(37.0, 18458.0)						
SRR29492865_2	(12.0, 10.0)	(13.0, 179.0)	(14.0, 576.0)	(15.0, 1699.0)	(16.0, 3399.0)	(17.0, 6218.0)	(18.0, 12002.0)	(19.0, 26004.0)	(20.0, 58231.0)	(21.0, 120352.0)	(22.0, 207385.0)	(23.0, 308433.0)	(24.0, 396367.0)	(25.0, 488340.0)	(26.0, 570697.0)	(27.0, 696418.0)	(28.0, 845177.0)	(29.0, 1076593.0)	(30.0, 1394239.0)	(31.0, 1949256.0)	(32.0, 2900091.0)	(33.0, 4972538.0)	(34.0, 9634389.0)	(35.0, 23998735.0)	(36.0, 41653886.0)	(37.0, 1611777.0)				
