Sample	Unique Reads	Duplicate Reads
SRR29492859_1	34283295	5532480
SRR29492859_2	34879649	4936126
SRR29492860_1	79329924	15073356
SRR29492860_2	80484470	13918810
SRR29492861_1	58187892	7308701
SRR29492861_2	57063627	8432966
SRR29492862_1	59696718	12012673
SRR29492862_2	60385437	11323954
SRR29492863_1	61212456	8666719
SRR29492863_2	61802375	8076800
SRR29492864_1	85288070	19784483
SRR29492864_2	86896017	18176536
SRR29492865_1	79586353	13346638
SRR29492865_2	76130698	16802293
SRR29492866_1	85916458	18839752
SRR29492866_2	82698618	22057592
SRR29492867_1	94601245	22873498
SRR29492867_2	96444073	21030670
SRR29492868_1	59083444	9221800
SRR29492868_2	59857753	8447491
SRR29492869_1	67623534	12566878
SRR29492869_2	68628264	11562148
SRR29492870_1	85310835	15474390
SRR29492870_2	86835782	13949443
SRR29492871_1	105981486	23167196
SRR29492871_2	107746986	21401696
SRR29492872_1	60543159	12198838
SRR29492872_2	61516624	11225373
SRR29492873_1	52362446	11276608
SRR29492873_2	53346454	10292600
SRR29492874_1	53646742	5414310
SRR29492874_2	51213011	7848041
SRR29492875_1	184151023	39522970
SRR29492875_2	199564160	24109833
SRR29492876_1	220964402	49335616
SRR29492876_2	240659809	29640209
SRR29492877_1	168229215	34746691
SRR29492877_2	181892371	21083535
SRR29492878_1	187072165	43839336
SRR29492878_2	200896221	30015280
SRR29492879_1	199550109	51371747
SRR29492879_2	214635061	36286795
SRR29492880_1	172675240	33073400
SRR29492880_2	187120909	18627731
SRR29492881_1	217351788	47476554
SRR29492881_2	234947112	29881230
SRR29492882_1	221888702	55598365
SRR29492882_2	243145451	34341616
SRR29492883_1	169625538	35258356
SRR29492883_2	183174495	21709399
SRR29492884_1	208506005	44599810
SRR29492884_2	225955258	27150557
SRR29492885_1	224829336	48133405
SRR29492885_2	245936013	27026728
SRR29492886_1	170973547	34611590
SRR29492886_2	184923826	20661311
SRR29492887_1	194032502	40450675
SRR29492887_2	210377806	24105371
SRR29492888_1	210704731	53814036
SRR29492888_2	229639055	34879712
SRR29492889_1	237294984	55821895
SRR29492889_2	258918612	34198267
SRR29492890_1	200181688	43089016
SRR29492890_2	217707067	25563637
SRR29492891_1	50649741	11102335
SRR29492891_2	52117542	9634534
SRR29492892_1	56457080	14570063
SRR29492892_2	57579111	13448032
SRR29492893_1	50552250	15398589
SRR29492893_2	51394608	14556231
SRR29492894_1	79904650	16773988
SRR29492894_2	81242908	15435730
SRR29492895_1	33283797	2828403
SRR29492895_2	32333697	3778503
SRR29492896_1	71821874	16725538
SRR29492896_2	72322678	16224734
SRR29492897_1	106455100	20270020
SRR29492897_2	107592574	19132546
SRR29492898_1	54330692	8777597
SRR29492898_2	55081307	8026982
SRR29492899_1	445816	5779
SRR29492899_2	446061	5534
SRR29492900_1	83375612	17535093
SRR29492900_2	84815396	16095309
SRR29492901_1	47318871	11396318
SRR29492901_2	48458756	10256433
SRR29492902_1	138944010	40955688
SRR29492902_2	140256840	39642858
SRR29492903_1	104522470	30965377
SRR29492903_2	106163576	29324271
SRR29492904_1	65082433	13057430
SRR29492904_2	65654564	12485299
SRR29492905_1	73341282	15219943
SRR29492905_2	75156906	13404319
SRR29492906_1	70379860	18846086
SRR29492906_2	71435218	17790728
SRR29492907_1	198465504	40544008
SRR29492907_2	216194604	22814908
SRR29492908_1	180821090	39565120
SRR29492908_2	195885480	24500730
SRR29492909_1	240970761	62154087
SRR29492909_2	259800687	43324161
SRR29492910_1	170683042	33865614
SRR29492910_2	184573229	19975427
SRR29492911_1	262383568	68324445
SRR29492911_2	289369605	41338408
SRR29492912_1	22067617	16965761
SRR29492912_2	21427615	17605763
SRR29492913_1	25148448	18709030
SRR29492913_2	24205188	19652290
SRR29492914_1	22074221	15931788
SRR29492914_2	21439380	16566629
SRR29492915_1	24652175	15855906
SRR29492915_2	24164411	16343670
SRR29492916_1	28497222	19096319
SRR29492916_2	27772265	19821276
SRR29492917_1	23415257	14444308
SRR29492917_2	22837208	15022357
SRR29492918_1	22436189	18185924
SRR29492918_2	22118042	18504071
SRR29492919_1	26253308	13919228
SRR29492919_2	25298417	14874119
SRR29492920_1	29007660	15338077
SRR29492920_2	27946527	16399210
SRR29492921_1	24633895	16536339
SRR29492921_2	24185292	16984942
SRR29492922_1	23656394	14053771
SRR29492922_2	22873977	14836188
SRR29492923_1	63718244	8841857
SRR29492923_2	62048339	10511762
SRR29492924_1	76975822	13906516
SRR29492924_2	79070130	11812208
SRR29492925_1	51353480	9072337
SRR29492925_2	52664566	7761251
SRR29492926_1	37350318	3074278
SRR29492926_2	36055301	4369295
SRR29492927_1	57534443	9141415
SRR29492927_2	57791438	8884420
SRR29492928_1	59685440	10222202
SRR29492928_2	58285925	11621717
SRR29492929_1	70895629	16919570
SRR29492929_2	71538243	16276956
SRR29492930_1	75019592	12797693
SRR29492930_2	75249132	12568153
SRR29492931_1	169052603	35214363
SRR29492931_2	182180940	22086026
SRR29492932_1	197736640	66082372
SRR29492932_2	212669017	51149995
SRR29492933_1	175669343	40327219
SRR29492933_2	188165700	27830862
SRR29492934_1	211086189	47212252
SRR29492934_2	229815199	28483242
SRR29492935_1	204302474	45118425
SRR29492935_2	219499308	29921591
SRR29492936_1	228661114	48826889
SRR29492936_2	248723530	28764473
SRR29492937_1	171159331	33930968
SRR29492937_2	184779648	20310651
SRR29492938_1	177598322	39708945
SRR29492938_2	190812429	26494838
SRR29492939_1	22814849	14931275
SRR29492939_2	22127096	15619028
SRR29492940_1	21745360	18913947
SRR29492940_2	21513745	19145562
SRR29492941_1	26826455	14212644
SRR29492941_2	26310145	14728954
SRR29492942_1	25978636	17794667
SRR29492942_2	25408615	18364688
SRR29492943_1	21744475	12449083
SRR29492943_2	21114283	13079275
SRR29492944_1	21406313	14245469
SRR29492944_2	21158915	14492867
SRR29492945_1	16661021	9457384
SRR29492945_2	16589872	9528533
SRR29492946_1	31657098	17563476
SRR29492946_2	30775969	18444605
SRR29492947_1	25631896	33357941
SRR29492947_2	24924374	34065463
SRR29492948_1	29878688	17915402
SRR29492948_2	28922242	18871848
SRR29492949_1	24973058	15225502
SRR29492949_2	24196567	16001993
SRR29492950_1	19641181	19064008
SRR29492950_2	19204192	19500997
SRR29492951_1	22541044	13214588
SRR29492951_2	21936318	13819314
SRR29492952_1	29004959	16342390
SRR29492952_2	28433573	16913776
SRR29492953_1	28274896	14462209
SRR29492953_2	27782651	14954454
SRR29492954_1	24636759	15555571
SRR29492954_2	23665134	16527196
SRR29492955_1	81999472	18072558
SRR29492955_2	83312329	16759701
SRR29492956_1	54637736	13353491
SRR29492956_2	56174386	11816841
SRR29492957_1	55180412	13062231
SRR29492957_2	56340961	11901682
SRR29492958_1	88933621	20817996
SRR29492958_2	89655261	20096356
SRR29492959_1	85079076	16517875
SRR29492959_2	85145205	16451746
SRR29492960_1	180853366	37183551
SRR29492960_2	195422803	22614114
SRR29492961_1	206066852	47922786
SRR29492961_2	223212074	30777564
SRR29492962_1	254348295	56816591
SRR29492962_2	278170448	32994438
SRR29492963_1	195372228	39716383
SRR29492963_2	211700318	23388293
SRR29492964_1	206098140	49680041
SRR29492964_2	220685668	35092513
SRR29492965_1	194264180	45300918
SRR29492965_2	208578788	30986310
SRR29492966_1	167766728	36653035
SRR29492966_2	180654537	23765226
SRR29492967_1	218356740	49276528
SRR29492967_2	237564632	30068636
SRR29492968_1	256363956	60855696
SRR29492968_2	281449133	35770519
SRR29492969_1	214095188	46146421
SRR29492969_2	232349306	27892303
SRR29492970_1	168052356	34659419
SRR29492970_2	182175626	20536149
SRR29492971_1	167845483	40146640
SRR29492971_2	180486376	27505747
SRR29492972_1	217543312	44965183
SRR29492972_2	235986493	26522002
SRR29492973_1	184468047	42488767
SRR29492973_2	199741964	27214850
SRR29492974_1	179795522	36489141
SRR29492974_2	194117388	22167275
SRR29492975_1	167101204	34486673
SRR29492975_2	180559210	21028667
SRR29492976_1	21599622	14350574
SRR29492976_2	21177543	14772653
SRR29492977_1	22565742	17095234
SRR29492977_2	21655989	18004987
SRR29492978_1	25917742	22361350
SRR29492978_2	25251326	23027766
SRR29492979_1	30737883	14914387
SRR29492979_2	30002254	15650016
SRR29492980_1	25683029	15801589
SRR29492980_2	25219129	16265489
SRR29492981_1	28848409	16263971
SRR29492981_2	28180285	16932095
SRR29492982_1	26326805	14204738
