Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR29492859_1	(1.0, 78.30539164536592)	(2.0, 13.004445517588033)	(3.0, 2.465071931762279)	(4.0, 0.6792675362103994)	(5.0, 0.3280806605395807)	(6.0, 0.23036113458590676)	(7.0, 0.18553567668466586)	(8.0, 0.1496290949984191)	(9.0, 0.1538491260826146)	('>10', 2.3459238415815675)	('>50', 0.9387578719257836)	('>100', 1.0939005497113028)	('>500', 0.05469436250064249)	('>1k', 0.051000726549309)	('>5k', 0.014090323913569089)	('>10k+', 0.0)
SRR29492859_2	(1.0, 80.60568817674854)	(2.0, 11.711729807487206)	(3.0, 2.106259875705559)	(4.0, 0.6137196248053877)	(5.0, 0.318273623255071)	(6.0, 0.20845316795083438)	(7.0, 0.17962615768434775)	(8.0, 0.14670352102013084)	(9.0, 0.14991491074524044)	('>10', 2.1238097595460124)	('>50', 0.7979220451542386)	('>100', 0.929396624240838)	('>500', 0.03906288194124764)	('>1k', 0.03740567450628752)	('>5k', 0.032034149209134694)	('>10k+', 0.0)
SRR29492860_1	(1.0, 74.98795215844926)	(2.0, 14.814947109508717)	(3.0, 3.1771201012235877)	(4.0, 0.9363190465237923)	(5.0, 0.41703974658646675)	(6.0, 0.3084625901098274)	(7.0, 0.23971658007429986)	(8.0, 0.1918804926143374)	(9.0, 0.1519903108502524)	('>10', 2.2234919869930834)	('>50', 0.7855236734528542)	('>100', 1.2847934967586012)	('>500', 0.2411911623643318)	('>1k', 0.18480430350028298)	('>5k', 0.04320094860189563)	('>10k+', 0.011566292388348182)
SRR29492860_2	(1.0, 76.93476074534489)	(2.0, 13.601112306992558)	(3.0, 2.9538172527663975)	(4.0, 0.8817514908730978)	(5.0, 0.39621085132335776)	(6.0, 0.2626234388363636)	(7.0, 0.24478547880356485)	(8.0, 0.17694350235747466)	(9.0, 0.12602991385011816)	('>10', 2.0288303393270457)	('>50', 0.7344448220557067)	('>100', 1.2330023983495197)	('>500', 0.1989118650670424)	('>1k', 0.16272482535545701)	('>5k', 0.035916059615609605)	('>10k+', 0.028134709081864676)
SRR29492861_1	(1.0, 82.65043828305703)	(2.0, 10.250767720482317)	(3.0, 1.9380394955160685)	(4.0, 0.616238158955669)	(5.0, 0.29287410542357306)	(6.0, 0.23308756926861005)	(7.0, 0.1952304458926687)	(8.0, 0.15530816259673808)	(9.0, 0.1403912929579253)	('>10', 1.7240929968344296)	('>50', 0.598735493704638)	('>100', 0.9584896449118968)	('>500', 0.1200234441785589)	('>1k', 0.11520306664037619)	('>5k', 0.01108011957966719)	('>10k+', 0.0)
SRR29492861_2	(1.0, 79.9691459026233)	(2.0, 11.898501841463037)	(3.0, 2.214715691215778)	(4.0, 0.6716431667943235)	(5.0, 0.32560806426213806)	(6.0, 0.28988748721798385)	(7.0, 0.1900810821923261)	(8.0, 0.18422851210296948)	(9.0, 0.14229216791879667)	('>10', 1.9691780644505985)	('>50', 0.7060664767513497)	('>100', 1.1509705664280303)	('>500', 0.1382856239778392)	('>1k', 0.11294934216289716)	('>5k', 0.03644601043879508)	('>10k+', 0.0)
SRR29492862_1	(1.0, 77.08319812950562)	(2.0, 9.885462858541008)	(3.0, 2.101083802265477)	(4.0, 0.7663812597426699)	(5.0, 0.41592136952207154)	(6.0, 0.2666617176596217)	(7.0, 0.190050547723225)	(8.0, 0.16654012156566073)	(9.0, 0.13214698172985578)	('>10', 2.1044298812260207)	('>50', 0.9718734411947036)	('>100', 3.1677872552827036)	('>500', 1.5338615710484058)	('>1k', 1.1817659395123836)	('>5k', 0.0)	('>10k+', 0.032835123480480385)
SRR29492862_2	(1.0, 78.55570326332769)	(2.0, 9.085493939642962)	(3.0, 1.9206630532256082)	(4.0, 0.657086915405977)	(5.0, 0.32878536571589306)	(6.0, 0.24135242848708632)	(7.0, 0.19223820301059605)	(8.0, 0.155876840086553)	(9.0, 0.13525845251332497)	('>10', 2.0942460877550007)	('>50', 0.9377380258617088)	('>100', 3.1603529423594763)	('>500', 1.436338055244518)	('>1k', 1.0468403486485072)	('>5k', 0.03375949772343069)	('>10k+', 0.018266580991938907)
SRR29492863_1	(1.0, 80.64810755451342)	(2.0, 11.371522210458394)	(3.0, 2.349070187697573)	(4.0, 0.7513011309922755)	(5.0, 0.379928484121632)	(6.0, 0.2321283687826658)	(7.0, 0.1752266587960799)	(8.0, 0.14228931627035132)	(9.0, 0.14239476708980436)	('>10', 2.040484673555618)	('>50', 0.6806389789697967)	('>100', 0.892728443433591)	('>500', 0.09201008761360671)	('>1k', 0.10216913770528747)	('>5k', 0.0)	('>10k+', 0.0)
SRR29492863_2	(1.0, 82.01138677850776)	(2.0, 10.511048869794433)	(3.0, 2.1894278769919424)	(4.0, 0.6524193480962035)	(5.0, 0.32495151870365385)	(6.0, 0.25615135360811064)	(7.0, 0.18724908178842498)	(8.0, 0.17536279533553167)	(9.0, 0.12434901153096525)	('>10', 1.9085861731244036)	('>50', 0.6351630566598814)	('>100', 0.8199787934959145)	('>500', 0.09652631928351738)	('>1k', 0.08842070514173934)	('>5k', 0.0)	('>10k+', 0.018978317937676386)
SRR29492864_1	(1.0, 71.68264866924707)	(2.0, 15.333019899403046)	(3.0, 3.6963421696921523)	(4.0, 1.0355905881066794)	(5.0, 0.5086618945246904)	(6.0, 0.2990182270094911)	(7.0, 0.2030809446932793)	(8.0, 0.16056647918639072)	(9.0, 0.1328829269505955)	('>10', 1.750876318670878)	('>50', 0.7049203555792422)	('>100', 2.2984344471844613)	('>500', 1.1395747055673406)	('>1k', 1.003008197462204)	('>5k', 0.0)	('>10k+', 0.051374176722334707)
