Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR29492859_1	SRR29492859_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39815775.0	6 Gbp	0.0	151.0	45.0	86.10480386174041	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492859_2	SRR29492859_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39815775.0	6 Gbp	0.0	151.0	45.0	87.60258615443342	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492860_1	SRR29492860_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94403280.0	14.2 Gbp	0.0	151.0	46.0	84.03301641337268	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492860_2	SRR29492860_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94403280.0	14.2 Gbp	0.0	151.0	45.0	85.25600948586948	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492861_1	SRR29492861_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65496593.0	9.8 Gbp	0.0	151.0	47.0	88.84109697875684	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492861_2	SRR29492861_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65496593.0	9.8 Gbp	0.0	151.0	46.0	87.12457160387036	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492862_1	SRR29492862_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71709391.0	10.8 Gbp	0.0	151.0	47.0	83.24811658679921	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492862_2	SRR29492862_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71709391.0	10.8 Gbp	0.0	151.0	46.0	84.20854751346273	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492863_1	SRR29492863_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69879175.0	10.5 Gbp	0.0	151.0	46.0	87.59756445663709	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
SRR29492863_2	SRR29492863_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69879175.0	10.5 Gbp	0.0	151.0	46.0	88.44176283244312	151.0	151	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
